icd,phecode
I10,401.1
M25,741.0
M79,729.0
M54,760.0
R10,785.0
R07,418.0
E78,272.1
E66,278.0
R06,513.0
E11,250.2
R05,512.8
K21,530.11
F17,318.0
G47,327.0
R53,798.0
F41,300.1
R11,789.0
D64,285.0
M19,740.9
J45,495.0
E87,276.1
K59,564.0
R19,561.0
E55,261.4
R09,429.3
N39,599.0
R42,386.9
R94,246.7
R20,687.4
M47,721.0
R79,790.6
J30,476.0
R73,250.4
R91,514.0
R93,793.0
F43,304.0
D50,280.1
N18,585.3
N17,585.1
H25,366.2
J02,465.0
R22,687.2
I25,411.8
H52,367.0
R35,599.5
K64,455.0
R21,687.1
M51,722.6
B35,110.1
R52,338.1
R68,1005.0
R30,599.3
H53,368.0
I50,428.2
R29,781.0
N89,619.4
F33,296.22
E83,275.0
K57,562.1
R92,611.0
F10,317.0
R41,292.0
J44,496.0
H40,365.0
G43,340.0
R55,788.0
R50,783.0
I51,414.0
L03,681.0
D12,208.0
K29,535.0
B37,112.0
N76,614.5
R39,599.8
D72,288.0
N28,586.0
H04,375.0
K76,573.0
N64,613.0
K63,569.0
I12,401.22
K62,565.0
R31,593.0
G56,351.0
E86,276.5
L29,698.0
N92,626.0
L02,686.1
R13,532.0
I11,401.21
I49,427.6
M21,736.0
K08,525.0
N63,611.3
M85,733.0
L98,689.0
M16,740.1
R45,1004.0
J01,464.0
N95,627.0
M77,726.0
I95,458.9
D25,218.1
J32,475.0
E04,241.0
H35,362.0
G44,339.0
K02,521.1
J96,509.1
H61,380.0
K31,537.0
M20,735.2
B34,79.0
G93,348.0
F11,316.0
L60,703.0
D63,285.2
F31,296.1
N30,592.1
R26,350.2
M43,724.9
K44,550.2
H10,369.5
M50,722.9
H93,388.0
R25,350.1
N52,605.0
R82,598.0
N40,600.0
R14,561.2
H57,379.0
H43,379.2
N94,625.0
A41,38.0
M76,726.1
I73,443.8
I48,427.2
H91,389.0
I82,452.0
H26,366.0
I87,459.0
J40,497.0
L81,694.2
D62,285.1
I27,415.2
R32,599.4
I63,433.2
M72,728.0
R80,269.0
T78,930.0
L84,700.0
I42,425.0
M10,274.1
O99,649.0
H02,374.0
I70,440.0
I34,395.1
R56,345.3
K04,522.0
N32,596.0
I13,401.2
M81,743.11
I21,411.2
D69,287.0
K80,574.1
M53,742.9
J43,496.1
S00,915.0
J90,507.0
L72,706.2
G40,345.0
K22,530.0
R04,516.1
N20,594.0
J31,472.0
I20,411.3
I77,447.0
R40,291.8
O09,638.0
I47,427.1
F39,296.0
F20,295.1
S01,870.3
H54,367.9
N60,610.8
L70,706.1
M15,740.2
R33,599.2
S61,871.0
L08,686.0
I44,426.3
R16,573.3
L91,701.0
I45,426.0
I26,415.1
M46,715.0
R01,396.0
K42,550.4
H66,381.11
L82,702.2
M06,714.0
R12,530.9
N13,586.4
B95,41.2
R49,473.4
D17,214.0
R63,1002.0
L97,707.2
I69,433.8
S06,818.0
H60,380.1
T82,854.0
A04,8.5
I15,401.3
D68,286.7
R65,994.1
I65,433.1
M99,720.0
K58,564.1
L21,690.1
K05,523.0
H11,372.0
M24,742.0
N85,619.2
E13,250.0
E05,242.0
I35,395.2
L50,947.0
H81,386.0
S92,801.0
A59,131.0
S82,800.0
N25,588.0
E08,249.0
N91,626.11
R61,705.8
J81,503.0
I36,395.3
K56,560.4
S02,819.0
M71,727.0
E10,250.1
I83,454.1
R76,279.7
K86,577.0
H47,377.0
G25,333.0
K13,528.0
M23,835.0
K43,550.5
L20,939.0
C50,174.11
E28,256.0
E21,252.0
H01,371.3
S63,840.0
J10,481.0
S62,804.0
D21,215.0
M26,524.0
J84,504.0
N50,608.0
B02,53.0
S05,870.1
R18,572.0
K74,571.5
I89,450.0
R90,293.1
J38,473.0
R44,292.6
D75,289.0
M41,737.3
J12,480.2
F29,295.3
I31,420.2
R47,292.1
K40,550.1
A60,54.0
K83,575.8
M35,709.7
M32,695.42
E07,246.0
C61,185.0
D23,216.0
E27,255.0
K91,569.2
R74,573.9
L28,695.7
K85,577.1
H16,370.0
T84,858.0
M13,716.0
A08,8.6
D70,288.11
G95,334.0
D89,279.0
K20,530.1
M86,710.12
K82,575.0
S22,807.0
N62,612.2
H69,381.2
K66,568.0
T85,859.0
K25,531.2
H65,381.1
F99,300.0
I24,411.9
H18,364.0
N81,618.0
T83,857.0
D35,227.0
E46,260.0
E43,260.2
K11,527.0
N84,622.0
A49,41.0
G81,342.0
