icd,phenocode,gwas_num_cases,gwas_num_controls
A04,AB1_BACT_INTEST_OTH,7671,444292
A08,AB1_VIRAL_OTHER_INTEST_INFECTIONS,11050,444292
A09,AB1_GASTROENTERITIS_NOS,39997,444292
A41,AB1_OTHER_SEPSIS,17133,439048
A49,AB1_BACTINF_NOS,25506,439048
A60,AB1_ANOGENITAL_HERPES_SIMPLEX,2510,485458
A63,AB1_SEXUAL_TRANSMISSION_NOS,7854,485458
A69,AB1_OTHER_SPIROCHAETAL,10678,489670
B00,AB1_HERPES_SIMPLEX,4677,480316
B01,AB1_VARICELLA,1808,480316
B02,AB1_ZOSTER,7132,480316
B07,AB1_VIRAL_WARTS,4044,480316
B27,AB1_EBV,3838,486087
B34,AB1_VIRAL_NOS,8325,486087
B35,AB1_DERMATOPHYTOSIS,5071,488977
B37,AB1_CANDIDIASIS,5341,488977
B86,AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST,2231,498117
B99,AB1_OTHER_INFECTIONS,3031,497317
C34,C3_LUNG_NONSMALL_EXALLC,6446,378749
C44,C3_BASAL_CELL_CARCINOMA_EXALLC,26272,378749
C83,CD2_NONFOLLICULAR_LYMPHOMA_EXALLC,3500,378749
C85,CD2_NONHODGKIN_NAS_EXALLC,1452,378749
C90,CD2_MULTIPLE_MYELOMA_PLASMA_CELL_EXALLC,1593,378749
C91,CD2_LYMPHOID_LEUKAEMIA_EXALLC,1945,378749
D03,CD2_INSITU_MELANOMA_EXALLC,1322,378371
D04,CD2_INSITU_SKIN_EXALLC,2742,377301
D05,CD2_INSITU_BREAST_INTRADUCTAL_EXALLC,3030,222001
D09,CD2_INSITU_BLADDER_EXALLC,1034,378741
D12,CD2_BENIGN_COLORECANI,29048,471300
D13,CD2_BENIGN_OTHERDIGESTIVE,7013,493335
D16,CD2_BENIGN_BONE_CARTILAGE,3326,497022
D17,CD2_BENIGN_LIPOMATOUS,12917,487431
D18,CD2_BENIGN_HEAMANGIOMA_LYMPHANGIOMA,3466,496882
D21,CD2_BENIGN_CONNECTIVE_SOFT,3937,496411
D22,CD2_BENIGN_MELANOCYTIC,13357,486991
D23,CD2_BENIGN_SKIN,17118,483230
D24,CD2_BENIGN_BREAST,4750,277314
D25,CD2_BENIGN_LEIOMYOMA_UTERI,42107,239957
D27,CD2_BENIGN_OVARY,7022,275042
D31,CD2_BENIGN_EYE,3735,496613
D32,CD2_BENIGN_MENINGES,3728,496620
D33,CD2_BENIGN_BRAIN_CNS,2404,497944
D35,CD2_BENIGN_ENDOCRINE_OTH,4928,495420
D36,CD2_BENIGN_OTHER_NOS,1158,499190
D47,THROMBOCYTAEMIA,1307,377885
D50,D3_ANAEMIA_IRONDEF,19321,477015
D51,D3_ANAEMIA_B12_DEF,4426,477015
D58,D3_HAEMOLYTICANAEMIA,1118,499230
D62,D3_ACUTEPOSTBLEEDANAEMIA,1295,479581
D64,D3_ANAEMIANAS,18961,479581
D68,D3_COAGOTHER,2769,492275
D69,D3_PURPURA_AND3_OTHER_HAEMORRHAGIC,5340,492275
D70,D3_AGRANULOCYTOSIS,4238,491224
D72,D3_OTHERWHITECELL,1966,491224
D75,D3_OTHERBLOOD,2517,491224
D86,D3_SARCOIDOSIS,5411,492311
E03,E4_HYTHY_AI_STRICT,54752,362639
E04,E4_NONTOXIC_THYROID,12852,487496
E05,THYROTOXICOSIS,11003,486722
E06,THYROIDITIS,2729,486722
E10,T1D,4721,403489
E11,T2D,82878,403489
E16,E4_GLUCOPANCREAS,3387,496961
E21,E4_PARATHYRO,8655,479069
E22,E4_HYPERPIT,1917,479069
E23,E4_HYPOPIT,2665,479069
E27,E4_ADDISON,1267,479069
E28,E4_OVARDYS,3045,267780
E29,E4_TESTICHYPO,1107,211289
E34,E4_ENDODIS,2056,479069
E66,E4_OBESITY,31499,468693
E73,E4_LACTONAS,1020,420066
E78,E4_LIPOPROT,59366,420066
E83,E4_MINERAL_MET,3094,420066
E86,E4_VOLUME,3729,420066
E87,E4_FLUIDELECTRO,13550,420066
F02,F5_DEMINOTH,1607,469981
F03,F5_DEMNAS,5388,469981
F05,F5_DELIRIUM,4381,469981
F06,F5_MENTORG,4277,469981
F10,AUD,20597,479751
F11,F5_OPIOIDS,1444,491508
F12,F5_CANNABIS,1168,491508
F13,F5_SEDAHYP,2668,491508
F15,F5_STIMUL,1077,491508
F17,SMOKING_DEPEND,3200,495423
F19,F5_OTHERSUB,2866,491508
F20,F5_SCHZPHR,7234,484776
F22,F5_DELUSIO,2953,484776
F25,F5_SCHIZOAFF,3095,484776
F29,F5_PSYCHOTH,8976,484776
F31,F5_BIPO,8946,434831
F32,F5_DEPRESSIO,59333,434831
F33,F5_DEPRESSION_RECURRENT,26094,254393
F34,F5_PERSMOOD,9001,434831
F39,F5_MOOD,65517,434831
F40,F5_PHOBANX,6248,444414
F41,F5_ANXIETY,24643,444414
F42,F5_OCD,2813,444414
F43,F5_STRESSOTH,18806,444414
F44,F5_DISSOCIATIVE,1525,444414
F45,F5_SOMATOFORM,7148,444414
F48,F5_NEUROTICOTH,1914,444414
F50,F5_EATOTH,2155,484901
F51,F5_SLEEP_NOS,1249,490763
F60,F5_EMOPER,5464,486464
F90,F5_ADHD,4452,490708
F99,F5_MENTALUNSPE,3449,479456
G20,G6_PARKINSON,5861,494487
G24,G6_DYSTON,2051,484084
G25,G6_XTRAPYROTH,9197,484084
G30,G6_ALZHEIMER,13964,486384
G35,G6_MS,2926,495931
G40,G6_EPLEPSY,15645,374605
G43,MIGRAINE_TRIPTAN,55116,445232
G44,G6_HEADACHE,21750,374605
G45,I9_TIA,24948,453276
G47,G6_SLEEPDISOTH,4625,374605
G50,G6_TRINEU,2226,435371
G51,G6_FACOTH,1037,435371
G54,G6_BRACHPLE,3899,435371
G56,G6_CARPTU,31181,435371
G57,G6_PLANTAR,2289,435371
G58,G6_MONOOTHUNS,1098,435371
G61,G6_POLYOTHUNS,7512,491583
G72,G6_MYOPOTHUNS,3194,495667
G81,G6_HEMIPLE,2008,495687
G93,G6_CERCYST,2163,463029
G95,G6_SPINOTH,1093,463029
G97,G6_POSTOPNEURO,3006,463029
H00,H7_CHALAZION,4708,453930
H01,H7_EYELIDINFLAMMATION,5155,453930
H02,H7_EYELIDDIS,20222,453930
H04,H7_LACRIMALSYSTEM,19195,453930
H05,H7_ORBIT,1637,453930
H10,H7_CONJUNCTIVITIS,41074,454779
H11,H7_OTHERCONJ,5450,454779
H16,H7_KERATITISOTH,4563,473095
H18,H7_CORNEALOTH,3609,473095
H20,H7_IRIDOCYCLITIS,9958,473095
H25,H7_CATARACTSENILE,83886,409535
H26,H7_CATARACTOTHER,25554,409535
H33,H7_RETINALDETACH,15490,455449
H34,H7_RETIVASCOCCLUSION,4560,455449
H35,H7_MACULADEGEN,21413,455449
H40,H7_GLAUCOMA,26591,473757
H43,H7_VITRBODYGLOBE,21499,478098
H46,H7_OPTNEURITIS,1592,496621
H47,H7_OPTNEUROTH,2322,496621
H49,H7_PARASTRAB,2581,476776
H50,H7_STRABOTH,10045,476776
H52,H7_REFRAACCOMMODIS,12151,476776
H53,H7_VISUDISTURB,22414,475933
H54,H7_BLINDANDVISIMPAIRMENT,2569,475933
H57,H7_OCUPAIN,3063,494683
H60,H8_EXTOTITIS,9471,485292
H61,H8_CERUMEN,3609,485292
H65,H8_NONSUPPNAS,12143,465154
H66,H8_MED_SUPP,20472,465154
H69,H8_EUSTNAS,1029,465154
H72,H8_PERFORATION,3902,465154
H81,H8_BPV,12006,474839
H83,H8_NOISEINNER,1511,474839
H90,H8_HL_SEN_NAS,44745,437331
H91,H8_HL_PRESBY,5817,437331
H92,H8_OTALGIA,2986,437331
H93,H8_TINNITUS,10008,437331
I10,I9_HYPTENSESS,132515,345634
I11,I9_HYPTENSHD,11728,345634
I12,I9_HYPTENSRD,1367,345634
I15,I9_HYPTENSEC,3388,252810
I20,I9_ANGINA,44588,416171
I21,I9_MI_STRICT,31666,416171
I25,I9_CORATHER,63307,416171
I26,I9_PULMEMB,12762,486319
I27,I9_SECONDRIGHT,1467,486319
I31,I9_PERICAOTH,1604,375343
I38,I9_ENDOCARD,1276,375343
I42,I9_CARDMYO,7649,375343
I44,I9_AVBLOCK,7850,375343
I45,I9_RBBB,1347,375343
I46,I9_CARDARR,3011,252810
I47,I9_PAROXTAC,12878,252810
I48,I9_AF,63532,252810
I49,I9_OTHARR,39265,375343
I50,I9_HEARTFAIL,37653,462695
I51,I9_OTHILLHEART,2192,375343
I60,I9_SAH,4180,450276
I61,I9_ICH,5112,450016
I62,I9_OTHINTRACRA,1099,453828
I63,I9_STR,34110,450023
I67,I9_ANEURYSM,3310,453828
I69,I9_SEQULAE,15879,453828
I70,I9_ATHSCLE,19807,463106
I71,FG_DOAAC,29658,252810
I72,I9_OTHANEUR,1998,463106
I73,I9_OTHPER,3153,463106
I74,I9_ARTEMBTHR,2266,463106
I80,I9_PHLETHROM,9750,432223
I82,I9_THROMBOTH,5316,432223
I83,I9_VARICVE,38467,432223
I85,I9_VARICVEOES,1410,432223
I86,I9_VARICVESOTH,2560,432223
I87,I9_VEINSOTH,18090,432223
I88,I9_LYMPHADE,2476,432223
