prs_group,age_bin,n_group_total,n_case,prev_rate,icd
Bottom 10%,20-25,70,0,0,A04
Bottom 10%,25-30,390,3,0.007692307692307693,A04
Bottom 10%,30-35,668,12,0.017964071856287425,A04
Bottom 10%,35-40,845,8,0.009467455621301775,A04
Bottom 10%,40-45,886,14,0.01580135440180587,A04
Bottom 10%,45-50,771,7,0.009079118028534372,A04
Bottom 10%,50-55,755,10,0.013245033112582781,A04
Bottom 10%,55-60,993,19,0.019133937562940583,A04
Bottom 10%,60-65,1392,14,0.010057471264367816,A04
Bottom 10%,65-70,1736,27,0.01555299539170507,A04
Bottom 10%,70-75,2041,27,0.013228809407153356,A04
Bottom 10%,75-80,1979,22,0.011116725618999495,A04
Bottom 10%,80-85,1267,18,0.014206787687450671,A04
Bottom 10%,85-90,593,9,0.01517706576728499,A04
Bottom 10%,90-95,259,4,0.015444015444015444,A04
Middle 10%,20-25,73,1,0.0136986301369863,A04
Middle 10%,25-30,420,6,0.014285714285714285,A04
Middle 10%,30-35,703,11,0.015647226173541962,A04
Middle 10%,35-40,870,12,0.013793103448275862,A04
Middle 10%,40-45,921,12,0.013029315960912053,A04
Middle 10%,45-50,858,11,0.01282051282051282,A04
Middle 10%,50-55,878,16,0.018223234624145785,A04
Middle 10%,55-60,1122,15,0.013368983957219251,A04
Middle 10%,60-65,1399,27,0.01929949964260186,A04
Middle 10%,65-70,1719,30,0.017452006980802792,A04
Middle 10%,70-75,1937,39,0.020134228187919462,A04
Middle 10%,75-80,1823,37,0.02029621503017005,A04
Middle 10%,80-85,1158,12,0.010362694300518135,A04
Middle 10%,85-90,538,8,0.01486988847583643,A04
Middle 10%,90-95,227,7,0.030837004405286344,A04
Top 10%,20-25,69,0,0,A04
Top 10%,25-30,503,2,0.003976143141153081,A04
Top 10%,30-35,711,5,0.007032348804500703,A04
Top 10%,35-40,966,19,0.019668737060041408,A04
Top 10%,40-45,995,14,0.01407035175879397,A04
Top 10%,45-50,941,23,0.024442082890541977,A04
Top 10%,50-55,982,18,0.018329938900203666,A04
Top 10%,55-60,1212,25,0.020627062706270627,A04
Top 10%,60-65,1448,26,0.017955801104972375,A04
Top 10%,65-70,1667,31,0.01859628074385123,A04
Top 10%,70-75,1842,45,0.024429967426710098,A04
Top 10%,75-80,1686,28,0.0166073546856465,A04
Top 10%,80-85,1017,32,0.03146509341199607,A04
