prs_group,age_bin,n_group_total,n_case,prev_rate,icd
Bottom 10%,20-25,31,0,0,A04
Bottom 10%,25-30,197,0,0,A04
Bottom 10%,30-35,339,3,0.008849557522123894,A04
Bottom 10%,35-40,400,4,0.01,A04
Bottom 10%,40-45,447,6,0.013422818791946308,A04
Bottom 10%,45-50,380,6,0.015789473684210527,A04
Bottom 10%,50-55,343,4,0.011661807580174927,A04
Bottom 10%,55-60,489,5,0.010224948875255624,A04
Bottom 10%,60-65,706,5,0.007082152974504249,A04
Bottom 10%,65-70,849,11,0.012956419316843345,A04
Bottom 10%,70-75,1061,11,0.010367577756833177,A04
Bottom 10%,75-80,1052,8,0.0076045627376425855,A04
Bottom 10%,80-85,602,4,0.006644518272425249,A04
Bottom 10%,85-90,290,5,0.017241379310344827,A04
Bottom 10%,90-95,129,1,0.007751937984496124,A04
Middle 10%,20-25,38,0,0,A04
Middle 10%,25-30,199,1,0.005025125628140704,A04
Middle 10%,30-35,348,4,0.011494252873563218,A04
Middle 10%,35-40,429,4,0.009324009324009324,A04
Middle 10%,40-45,473,9,0.019027484143763214,A04
Middle 10%,45-50,418,6,0.014354066985645933,A04
Middle 10%,50-55,416,8,0.019230769230769232,A04
Middle 10%,55-60,554,12,0.021660649819494584,A04
Middle 10%,60-65,698,12,0.017191977077363897,A04
Middle 10%,65-70,873,18,0.020618556701030927,A04
Middle 10%,70-75,983,17,0.017293997965412006,A04
Middle 10%,75-80,938,17,0.01812366737739872,A04
Middle 10%,80-85,572,8,0.013986013986013986,A04
Middle 10%,85-90,275,3,0.01090909090909091,A04
Middle 10%,90-95,113,5,0.04424778761061947,A04
Top 10%,20-25,35,0,0,A04
Top 10%,25-30,264,1,0.003787878787878788,A04
Top 10%,30-35,395,3,0.007594936708860759,A04
Top 10%,35-40,444,12,0.02702702702702703,A04
Top 10%,40-45,467,7,0.014989293361884369,A04
Top 10%,45-50,530,8,0.01509433962264151,A04
Top 10%,50-55,524,9,0.01717557251908397,A04
Top 10%,55-60,626,15,0.023961661341853034,A04
Top 10%,60-65,750,17,0.02266666666666667,A04
Top 10%,65-70,867,23,0.0265282583621684,A04
