prs_group,age_bin,n_group_total,n_case,prev_rate,icd
Bottom 10%,20-25,71,0,0,A04
Bottom 10%,25-30,388,4,0.010309278350515464,A04
Bottom 10%,30-35,678,7,0.01032448377581121,A04
Bottom 10%,35-40,827,5,0.006045949214026602,A04
Bottom 10%,40-45,914,11,0.012035010940919038,A04
Bottom 10%,45-50,844,10,0.011848341232227487,A04
Bottom 10%,50-55,833,17,0.02040816326530612,A04
Bottom 10%,55-60,1074,24,0.0223463687150838,A04
Bottom 10%,60-65,1390,25,0.017985611510791366,A04
Bottom 10%,65-70,1751,42,0.023986293546544833,A04
Bottom 10%,70-75,2025,34,0.016790123456790124,A04
Bottom 10%,75-80,1920,24,0.0125,A04
Bottom 10%,80-85,1174,22,0.018739352640545145,A04
Bottom 10%,85-90,534,7,0.013108614232209739,A04
Bottom 10%,90-95,243,5,0.0205761316872428,A04
Middle 10%,20-25,81,0,0,A04
Middle 10%,25-30,468,1,0.002136752136752137,A04
Middle 10%,30-35,684,4,0.005847953216374269,A04
Middle 10%,35-40,859,7,0.008149010477299184,A04
Middle 10%,40-45,973,14,0.014388489208633094,A04
Middle 10%,45-50,858,11,0.01282051282051282,A04
Middle 10%,50-55,857,18,0.021003500583430573,A04
Middle 10%,55-60,1137,19,0.016710642040457344,A04
Middle 10%,60-65,1375,27,0.019636363636363636,A04
Middle 10%,65-70,1671,33,0.019748653500897665,A04
Middle 10%,70-75,1956,42,0.02147239263803681,A04
Middle 10%,75-80,1848,32,0.017316017316017316,A04
Middle 10%,80-85,1141,20,0.017528483786152498,A04
Middle 10%,85-90,557,15,0.026929982046678635,A04
Middle 10%,90-95,185,8,0.043243243243243246,A04
Top 10%,20-25,65,0,0,A04
Top 10%,25-30,416,7,0.016826923076923076,A04
Top 10%,30-35,726,9,0.012396694214876033,A04
Top 10%,35-40,875,9,0.010285714285714285,A04
Top 10%,40-45,973,13,0.013360739979445015,A04
Top 10%,45-50,878,15,0.017084282460136675,A04
Top 10%,50-55,911,19,0.020856201975850714,A04
Top 10%,55-60,1249,27,0.021617293835068056,A04
Top 10%,60-65,1393,31,0.022254127781765973,A04
Top 10%,65-70,1706,33,0.019343493552168817,A04
Top 10%,70-75,1921,40,0.020822488287350338,A04
Top 10%,75-80,1784,31,0.017376681614349777,A04
Top 10%,80-85,1056,24,0.022727272727272728,A04
Top 10%,85-90,502,13,0.025896414342629483,A04
Top 10%,90-95,195,11,0.05641025641025641,A04
Bottom 10%,20-25,70,0,0,A08
Bottom 10%,25-30,420,8,0.01904761904761905,A08
Bottom 10%,30-35,676,8,0.011834319526627219,A08
Bottom 10%,35-40,853,10,0.011723329425556858,A08
Bottom 10%,40-45,921,12,0.013029315960912053,A08
Bottom 10%,45-50,879,11,0.012514220705346985,A08
Bottom 10%,50-55,827,10,0.012091898428053204,A08
Bottom 10%,55-60,1089,11,0.010101010101010102,A08
Bottom 10%,60-65,1459,15,0.01028101439342015,A08
Bottom 10%,65-70,1729,22,0.012724117987275883,A08
Bottom 10%,70-75,2016,25,0.01240079365079365,A08
Bottom 10%,75-80,1854,13,0.007011866235167206,A08
Bottom 10%,80-85,1108,12,0.010830324909747292,A08
Bottom 10%,85-90,547,8,0.014625228519195612,A08
Bottom 10%,90-95,215,1,0.004651162790697674,A08
Middle 10%,20-25,77,3,0.03896103896103896,A08
Middle 10%,25-30,397,7,0.017632241813602016,A08
Middle 10%,30-35,704,11,0.015625,A08
Middle 10%,35-40,852,10,0.011737089201877934,A08
Middle 10%,40-45,949,9,0.009483667017913594,A08
Middle 10%,45-50,869,15,0.01726121979286536,A08
Middle 10%,50-55,884,13,0.014705882352941176,A08
Middle 10%,55-60,1179,18,0.015267175572519083,A08
Middle 10%,60-65,1405,26,0.018505338078291814,A08
Middle 10%,65-70,1696,25,0.01474056603773585,A08
Middle 10%,70-75,1937,22,0.011357769747031492,A08
Middle 10%,75-80,1857,16,0.008616047388260635,A08
Middle 10%,80-85,1109,9,0.008115419296663661,A08
Middle 10%,85-90,523,7,0.01338432122370937,A08
Middle 10%,90-95,223,1,0.004484304932735426,A08
Top 10%,20-25,76,2,0.02631578947368421,A08
Top 10%,25-30,458,10,0.021834061135371178,A08
Top 10%,30-35,721,14,0.019417475728155338,A08
Top 10%,35-40,898,22,0.024498886414253896,A08
Top 10%,40-45,955,12,0.012565445026178011,A08
