prs_group,age_bin,n_group_total,n_case,prev_rate,icd
Bottom 10%,40-45,3471,24,0.006914433880726016,A04
Bottom 10%,45-50,4736,29,0.006123310810810811,A04
Bottom 10%,50-55,5741,61,0.010625326598153632,A04
Bottom 10%,55-60,7532,76,0.01009028146574615,A04
Bottom 10%,60-65,10641,129,0.012122920778122357,A04
Bottom 10%,65-70,8847,131,0.014807279303718775,A04
Bottom 10%,70-75,246,4,0.016260162601626018,A04
Middle 10%,40-45,3616,29,0.008019911504424779,A04
Middle 10%,45-50,4860,44,0.00905349794238683,A04
Middle 10%,50-55,5845,65,0.011120615911035072,A04
Middle 10%,55-60,7541,62,0.008221721257127702,A04
Middle 10%,60-65,10511,132,0.012558272286176387,A04
Middle 10%,65-70,8604,163,0.018944676894467688,A04
Middle 10%,70-75,236,6,0.025423728813559324,A04
Top 10%,40-45,3787,44,0.011618695537364668,A04
Top 10%,45-50,5145,60,0.011661807580174927,A04
Top 10%,50-55,6063,84,0.013854527461652647,A04
Top 10%,55-60,7322,95,0.012974597104616225,A04
Top 10%,60-65,10508,162,0.015416825275980206,A04
Top 10%,65-70,8169,155,0.018974170645121802,A04
Top 10%,70-75,220,7,0.031818181818181815,A04
Bottom 10%,35-40,1,0,0,A08
Bottom 10%,40-45,3585,12,0.0033472803347280333,A08
Bottom 10%,45-50,4629,6,0.0012961762799740765,A08
Bottom 10%,50-55,5692,22,0.003865073787772312,A08
Bottom 10%,55-60,7584,30,0.003955696202531646,A08
Bottom 10%,60-65,10687,44,0.004117151679610742,A08
Bottom 10%,65-70,8811,50,0.005674724775848372,A08
Bottom 10%,70-75,225,2,0.008888888888888889,A08
Middle 10%,40-45,3544,16,0.004514672686230248,A08
Middle 10%,45-50,4886,13,0.002660663119115841,A08
Middle 10%,50-55,5860,31,0.005290102389078498,A08
Middle 10%,55-60,7553,44,0.0058254998014034155,A08
Middle 10%,60-65,10576,52,0.004916792738275341,A08
Middle 10%,65-70,8584,66,0.007688723205964585,A08
Middle 10%,70-75,210,6,0.02857142857142857,A08
Top 10%,35-40,1,0,0,A08
Top 10%,40-45,4368,24,0.005494505494505495,A08
Top 10%,45-50,5508,20,0.0036310820624546117,A08
Top 10%,50-55,6192,25,0.004037467700258398,A08
Top 10%,55-60,7266,35,0.004816955684007707,A08
Top 10%,60-65,9746,54,0.005540734660373486,A08
Top 10%,65-70,7914,63,0.00796057619408643,A08
Top 10%,70-75,219,4,0.0182648401826484,A08
Bottom 10%,40-45,3732,146,0.03912111468381565,A09
Bottom 10%,45-50,4909,183,0.037278468119779994,A09
Bottom 10%,50-55,5859,267,0.045570916538658475,A09
Bottom 10%,55-60,7567,379,0.05008589929959033,A09
Bottom 10%,60-65,10459,604,0.05774930681709532,A09
Bottom 10%,65-70,8488,547,0.06444392082940623,A09
Bottom 10%,70-75,200,20,0.1,A09
Middle 10%,40-45,3498,134,0.038307604345340196,A09
Middle 10%,45-50,4929,189,0.03834449178332319,A09
Middle 10%,50-55,5938,269,0.0453014482990906,A09
Middle 10%,55-60,7320,389,0.05314207650273224,A09
Middle 10%,60-65,10676,548,0.05133008617459723,A09
Middle 10%,65-70,8656,549,0.06342421441774491,A09
Middle 10%,70-75,197,18,0.09137055837563451,A09
Top 10%,35-40,1,0,0,A09
Top 10%,40-45,3661,123,0.0335973777656378,A09
Top 10%,45-50,4935,181,0.03667679837892604,A09
Top 10%,50-55,5837,273,0.0467706013363029,A09
Top 10%,55-60,7466,351,0.04701312617197964,A09
Top 10%,60-65,10653,615,0.05773021684032667,A09
Top 10%,65-70,8448,562,0.06652462121212122,A09
Top 10%,70-75,217,22,0.10138248847926268,A09
Bottom 10%,35-40,1,0,0,A41
Bottom 10%,40-45,3352,54,0.016109785202863963,A41
Bottom 10%,45-50,4765,83,0.017418677859391395,A41
Bottom 10%,50-55,5740,130,0.02264808362369338,A41
Bottom 10%,55-60,7494,211,0.028155858019749132,A41
Bottom 10%,60-65,10741,465,0.04329205846755423,A41
Bottom 10%,65-70,8872,488,0.05500450856627592,A41
Bottom 10%,70-75,250,11,0.044,A41
Middle 10%,40-45,3700,47,0.012702702702702703,A41
Middle 10%,45-50,5033,106,0.021060997417047488,A41
Middle 10%,50-55,5901,147,0.02491103202846975,A41
Middle 10%,55-60,7434,219,0.029459241323648102,A41
Middle 10%,60-65,10478,515,0.0491506012597824,A41
Middle 10%,65-70,8456,568,0.06717123935666983,A41
Middle 10%,70-75,211,20,0.0947867298578199,A41
Top 10%,35-40,1,0,0,A41
Top 10%,40-45,4038,60,0.014858841010401188,A41
Top 10%,45-50,5066,117,0.02309514409790762,A41
Top 10%,50-55,6120,190,0.03104575163398693,A41
Top 10%,55-60,7386,317,0.042919036014080696,A41
Top 10%,60-65,10237,566,0.05528963563544007,A41
Top 10%,65-70,8149,598,0.07338323720701927,A41
Top 10%,70-75,217,12,0.055299539170506916,A41
