prs_group,age_bin,n_group_total,n_case,prev_rate,icd
Bottom 10%,40-45,3365,24,0.00713224368499257,A04
Bottom 10%,45-50,4618,28,0.006063230835859679,A04
Bottom 10%,50-55,5713,58,0.01015228426395939,A04
Bottom 10%,55-60,7400,77,0.010405405405405405,A04
Bottom 10%,60-65,10862,126,0.011600073651261278,A04
Bottom 10%,65-70,9020,124,0.013747228381374724,A04
Bottom 10%,70-75,236,6,0.025423728813559324,A04
Middle 10%,35-40,1,0,0,A04
Middle 10%,40-45,3571,27,0.007560907308877065,A04
Middle 10%,45-50,4866,45,0.009247842170160296,A04
Middle 10%,50-55,5776,58,0.010041551246537396,A04
Middle 10%,55-60,7530,88,0.011686586985391767,A04
Middle 10%,60-65,10648,151,0.01418106686701728,A04
Middle 10%,65-70,8606,156,0.01812688821752266,A04
Middle 10%,70-75,215,3,0.013953488372093023,A04
Top 10%,35-40,1,0,0,A04
Top 10%,40-45,4236,56,0.013220018885741265,A04
Top 10%,45-50,5503,75,0.013628929674722878,A04
Top 10%,50-55,6139,91,0.014823261117445839,A04
Top 10%,55-60,7294,118,0.01617768028516589,A04
Top 10%,60-65,9973,173,0.01734683645843778,A04
Top 10%,65-70,7861,183,0.02327948098206335,A04
Top 10%,70-75,207,3,0.014492753623188406,A04
Bottom 10%,40-45,3377,11,0.003257328990228013,A08
Bottom 10%,45-50,4628,11,0.0023768366464995676,A08
Bottom 10%,50-55,5715,26,0.004549431321084864,A08
Bottom 10%,55-60,7541,27,0.003580426999071741,A08
Bottom 10%,60-65,10783,49,0.004544189928591301,A08
Bottom 10%,65-70,8959,50,0.005580980020091528,A08
Bottom 10%,70-75,211,1,0.004739336492890996,A08
Middle 10%,35-40,1,0,0,A08
Middle 10%,40-45,3537,15,0.004240882103477523,A08
Middle 10%,45-50,4777,12,0.0025120368432070338,A08
Middle 10%,50-55,5827,27,0.004633602196670671,A08
Middle 10%,55-60,7398,39,0.0052716950527169504,A08
Middle 10%,60-65,10690,52,0.0048643592142188965,A08
Middle 10%,65-70,8762,61,0.006961880849121205,A08
Middle 10%,70-75,221,1,0.004524886877828055,A08
Top 10%,35-40,1,0,0,A08
Top 10%,40-45,4451,16,0.003594697820714446,A08
Top 10%,45-50,5687,27,0.00474767012484614,A08
Top 10%,50-55,6340,37,0.00583596214511041,A08
Top 10%,55-60,7228,49,0.006779192030990592,A08
Top 10%,60-65,9675,68,0.007028423772609819,A08
Top 10%,65-70,7611,84,0.01103665746945211,A08
Top 10%,70-75,221,6,0.027149321266968326,A08
Bottom 10%,40-45,3546,114,0.032148900169204735,A09
Bottom 10%,45-50,4748,171,0.03601516427969671,A09
Bottom 10%,50-55,5861,250,0.04265483705852244,A09
Bottom 10%,55-60,7545,357,0.04731610337972167,A09
Bottom 10%,60-65,10586,627,0.05922917060268279,A09
Bottom 10%,65-70,8687,568,0.06538505813284218,A09
Bottom 10%,70-75,241,14,0.058091286307053944,A09
Middle 10%,40-45,3661,128,0.034963124829281614,A09
Middle 10%,45-50,4944,184,0.0372168284789644,A09
Middle 10%,50-55,5868,248,0.04226312201772325,A09
Middle 10%,55-60,7490,370,0.049399198931909215,A09
Middle 10%,60-65,10392,564,0.054272517321016164,A09
Middle 10%,65-70,8624,610,0.07073283858998144,A09
Middle 10%,70-75,234,25,0.10683760683760683,A09
Top 10%,40-45,3816,149,0.039046121593291405,A09
Top 10%,45-50,4912,184,0.03745928338762215,A09
Top 10%,50-55,6059,262,0.04324145898663146,A09
Top 10%,55-60,7429,375,0.050477857046708846,A09
Top 10%,60-65,10496,655,0.0624047256097561,A09
Top 10%,65-70,8271,582,0.07036634022488211,A09
Top 10%,70-75,231,31,0.1341991341991342,A09
Bottom 10%,35-40,1,0,0,A41
Bottom 10%,40-45,3302,54,0.01635372501514234,A41
Bottom 10%,45-50,4534,80,0.0176444640494045,A41
Bottom 10%,50-55,5592,132,0.023605150214592276,A41
Bottom 10%,55-60,7580,206,0.027176781002638522,A41
Bottom 10%,60-65,10920,454,0.04157509157509157,A41
Bottom 10%,65-70,9027,482,0.05339536944721392,A41
Bottom 10%,70-75,258,14,0.05426356589147287,A41
Middle 10%,40-45,3567,60,0.01682085786375105,A41
Middle 10%,45-50,4718,108,0.022891055532005086,A41
Middle 10%,50-55,5789,159,0.02746588357229228,A41
Middle 10%,55-60,7473,248,0.03318613675899906,A41
Middle 10%,60-65,10803,523,0.0484124780153661,A41
Middle 10%,65-70,8620,603,0.06995359628770302,A41
Middle 10%,70-75,243,21,0.08641975308641975,A41
Top 10%,35-40,2,0,0,A41
Top 10%,40-45,4419,75,0.01697216564833673,A41
Top 10%,45-50,5649,133,0.023543990086741014,A41
Top 10%,50-55,6348,226,0.03560176433522369,A41
Top 10%,55-60,7227,310,0.042894700428947004,A41
Top 10%,60-65,9710,537,0.0553038105046344,A41
Top 10%,65-70,7671,589,0.0767826880458871,A41
Top 10%,70-75,188,13,0.06914893617021277,A41
Bottom 10%,40-45,3322,9,0.0027092113184828417,A49
