prs_group,age_bin,n_group_total,n_case,prev_rate,icd
Bottom 10%,40-45,3458,29,0.00838635049161365,A04
Bottom 10%,45-50,4732,31,0.006551141166525782,A04
Bottom 10%,50-55,5912,54,0.009133964817320704,A04
Bottom 10%,55-60,7486,72,0.009617953513224685,A04
Bottom 10%,60-65,10737,134,0.012480208624382975,A04
Bottom 10%,65-70,8691,150,0.01725923369002416,A04
Bottom 10%,70-75,198,1,0.005050505050505051,A04
Middle 10%,40-45,3648,16,0.0043859649122807015,A04
Middle 10%,45-50,4950,41,0.008282828282828282,A04
Middle 10%,50-55,5840,54,0.009246575342465754,A04
Middle 10%,55-60,7551,76,0.010064892067275857,A04
Middle 10%,60-65,10366,133,0.012830407100135057,A04
Middle 10%,65-70,8638,156,0.018059736050011578,A04
Middle 10%,70-75,221,3,0.013574660633484163,A04
Top 10%,40-45,3752,42,0.011194029850746268,A04
Top 10%,45-50,4889,43,0.008795254653303334,A04
Top 10%,50-55,5975,66,0.01104602510460251,A04
Top 10%,55-60,7331,108,0.014731960169144728,A04
Top 10%,60-65,10523,146,0.013874370426684405,A04
Top 10%,65-70,8511,157,0.018446716014569382,A04
Top 10%,70-75,233,4,0.017167381974248927,A04
Bottom 10%,35-40,1,0,0,A08
Bottom 10%,40-45,3636,12,0.0033003300330033004,A08
Bottom 10%,45-50,4885,12,0.0024564994882292734,A08
Bottom 10%,50-55,5856,21,0.003586065573770492,A08
Bottom 10%,55-60,7436,34,0.00457235072619688,A08
Bottom 10%,60-65,10645,39,0.003663691874119305,A08
Bottom 10%,65-70,8534,43,0.005038668853995782,A08
Bottom 10%,70-75,223,0,0,A08
Middle 10%,40-45,3607,11,0.003049625727751594,A08
Middle 10%,45-50,4838,18,0.0037205456800330715,A08
Middle 10%,50-55,5947,33,0.005549016310744914,A08
Middle 10%,55-60,7523,39,0.005184102086933404,A08
Middle 10%,60-65,10603,47,0.004432707724228992,A08
Middle 10%,65-70,8481,69,0.008135833038556774,A08
Middle 10%,70-75,214,3,0.014018691588785047,A08
Top 10%,40-45,3632,14,0.003854625550660793,A08
Top 10%,45-50,4950,17,0.0034343434343434343,A08
Top 10%,50-55,5948,28,0.004707464694014795,A08
Top 10%,55-60,7396,37,0.005002704164413196,A08
Top 10%,60-65,10558,54,0.0051146050388331124,A08
Top 10%,65-70,8537,52,0.0060911327164109175,A08
Top 10%,70-75,193,4,0.02072538860103627,A08
Bottom 10%,35-40,1,0,0,A09
Bottom 10%,40-45,3585,117,0.032635983263598324,A09
Bottom 10%,45-50,4629,163,0.03521278893929575,A09
Bottom 10%,50-55,5692,203,0.03566408995080815,A09
Bottom 10%,55-60,7584,327,0.04311708860759494,A09
Bottom 10%,60-65,10687,501,0.046879386170113224,A09
Bottom 10%,65-70,8811,544,0.06174100556123028,A09
Bottom 10%,70-75,225,11,0.04888888888888889,A09
Middle 10%,40-45,3544,142,0.040067720090293454,A09
Middle 10%,45-50,4886,189,0.03868194842406877,A09
Middle 10%,50-55,5860,277,0.04726962457337884,A09
Middle 10%,55-60,7553,394,0.05216470276711241,A09
Middle 10%,60-65,10576,636,0.06013615733736762,A09
Middle 10%,65-70,8584,570,0.06640260950605778,A09
Middle 10%,70-75,210,25,0.11904761904761904,A09
Top 10%,35-40,1,0,0,A09
Top 10%,40-45,4368,203,0.046474358974358976,A09
Top 10%,45-50,5508,236,0.042846768336964415,A09
Top 10%,50-55,6192,276,0.044573643410852716,A09
Top 10%,55-60,7266,425,0.0584916047343793,A09
Top 10%,60-65,9746,574,0.058895957315821874,A09
Top 10%,65-70,7914,582,0.07354056103108415,A09
Top 10%,70-75,219,24,0.1095890410958904,A09
Bottom 10%,40-45,3525,63,0.017872340425531916,A41
Bottom 10%,45-50,4727,81,0.01713560397715253,A41
Bottom 10%,50-55,5813,148,0.02546017546877688,A41
Bottom 10%,55-60,7592,260,0.03424657534246575,A41
Bottom 10%,60-65,10682,476,0.04456094364351245,A41
Bottom 10%,65-70,8662,526,0.06072500577233895,A41
Bottom 10%,70-75,213,12,0.056338028169014086,A41
Middle 10%,40-45,3625,45,0.012413793103448275,A41
Middle 10%,45-50,4866,92,0.018906699547883273,A41
Middle 10%,50-55,5939,152,0.025593534265027782,A41
Middle 10%,55-60,7551,264,0.03496225665474772,A41
Middle 10%,60-65,10559,529,0.05009944123496543,A41
Middle 10%,65-70,8455,574,0.06788882318154937,A41
Middle 10%,70-75,219,17,0.0776255707762557,A41
Top 10%,35-40,1,0,0,A41
Top 10%,40-45,3710,65,0.01752021563342318,A41
Top 10%,45-50,4953,102,0.02059357964869776,A41
Top 10%,50-55,5852,185,0.03161312371838688,A41
Top 10%,55-60,7427,279,0.03756563888514878,A41
Top 10%,60-65,10571,544,0.05146154573834074,A41
Top 10%,65-70,8495,586,0.06898175397292525,A41
Top 10%,70-75,205,19,0.09268292682926829,A41
Bottom 10%,40-45,3548,7,0.001972942502818489,A49
Bottom 10%,45-50,4785,14,0.0029258098223615466,A49
Bottom 10%,50-55,5769,13,0.002253423470272144,A49
Bottom 10%,55-60,7632,40,0.005241090146750524,A49
Bottom 10%,60-65,10617,64,0.006028068192521428,A49
Bottom 10%,65-70,8625,82,0.009507246376811595,A49
Bottom 10%,70-75,238,1,0.004201680672268907,A49
Middle 10%,40-45,3724,12,0.00322234156820623,A49
Middle 10%,45-50,5026,16,0.0031834460803820135,A49
Middle 10%,50-55,5863,31,0.00528739553129797,A49
Middle 10%,55-60,7534,47,0.00623838598354128,A49
Middle 10%,60-65,10474,71,0.006778690089746037,A49
Middle 10%,65-70,8384,75,0.0089456106870229,A49
Middle 10%,70-75,211,2,0.009478672985781991,A49
Top 10%,40-45,3625,11,0.0030344827586206895,A49
Top 10%,45-50,4921,17,0.003454582401950823,A49
Top 10%,50-55,5968,25,0.0041890080428954425,A49
Top 10%,55-60,7525,53,0.007043189368770764,A49
Top 10%,60-65,10478,82,0.007825920977285742,A49
Top 10%,65-70,8463,80,0.00945291267871913,A49
Top 10%,70-75,234,1,0.004273504273504274,A49
Bottom 10%,40-45,3564,5,0.0014029180695847362,B00
Bottom 10%,45-50,4914,5,0.0010175010175010174,B00
Bottom 10%,50-55,5887,3,5.095974180397486e-4,B00
Bottom 10%,55-60,7442,13,0.0017468422467078742,B00
Bottom 10%,60-65,10643,22,0.002067086347834257,B00
Bottom 10%,65-70,8550,10,0.0011695906432748538,B00
Bottom 10%,70-75,215,0,0,B00
Middle 10%,35-40,1,0,0,B00
Middle 10%,40-45,3704,6,0.0016198704103671706,B00
Middle 10%,45-50,5021,3,5.974905397331209e-4,B00
Middle 10%,50-55,5928,15,0.0025303643724696357,B00
Middle 10%,55-60,7382,13,0.001761040368463831,B00
Middle 10%,60-65,10343,16,0.001546939959392826,B00
Middle 10%,65-70,8637,19,0.0021998379066805606,B00
Middle 10%,70-75,198,0,0,B00
Top 10%,40-45,3652,4,0.001095290251916758,B00
Top 10%,45-50,4763,4,8.39806844425782e-4,B00
Top 10%,50-55,5857,11,0.00187809458767287,B00
Top 10%,55-60,7433,12,0.0016144221713978205,B00
Top 10%,60-65,10624,14,0.0013177710843373493,B00
Top 10%,65-70,8657,17,0.001963728774402218,B00
Top 10%,70-75,228,0,0,B00
Bottom 10%,35-40,1,0,0,B02
Bottom 10%,40-45,3651,4,0.0010955902492467817,B02
Bottom 10%,45-50,4872,11,0.002257799671592775,B02
Bottom 10%,50-55,5942,17,0.00286098956580276,B02
Bottom 10%,55-60,7337,17,0.002317023306528554,B02
Bottom 10%,60-65,10840,39,0.0035977859778597784,B02
Bottom 10%,65-70,8335,36,0.004319136172765447,B02
Bottom 10%,70-75,237,0,0,B02
Middle 10%,40-45,3662,4,0.0010922992900054614,B02
Middle 10%,45-50,4939,5,0.0010123506782749544,B02
Middle 10%,50-55,5946,22,0.003699966363942146,B02
Middle 10%,55-60,7469,18,0.0024099611728477708,B02
Middle 10%,60-65,10599,37,0.0034908953674874987,B02
Middle 10%,65-70,8589,44,0.0051228315286994995,B02
Middle 10%,70-75,226,2,0.008849557522123894,B02
Top 10%,40-45,3749,8,0.002133902373966391,B02
Top 10%,45-50,5028,7,0.0013922036595067622,B02
Top 10%,50-55,5881,20,0.0034007821799013774,B02
Top 10%,55-60,7413,28,0.003777148253068933,B02
Top 10%,60-65,10324,36,0.003487020534676482,B02
Top 10%,65-70,8589,52,0.006054255443008499,B02
Top 10%,70-75,230,0,0,B02
Bottom 10%,40-45,3702,8,0.0021609940572663426,B07
Bottom 10%,45-50,4957,16,0.0032277587250353038,B07
Bottom 10%,50-55,5872,18,0.0030653950953678476,B07
Bottom 10%,55-60,7469,17,0.0022760744410228947,B07
Bottom 10%,60-65,10581,29,0.0027407617427464325,B07
Bottom 10%,65-70,8416,29,0.0034458174904942965,B07
Bottom 10%,70-75,217,0,0,B07
Middle 10%,35-40,1,0,0,B07
Middle 10%,40-45,3760,16,0.00425531914893617,B07
Middle 10%,45-50,4858,18,0.0037052284890901604,B07
Middle 10%,50-55,5822,18,0.003091721058055651,B07
Middle 10%,55-60,7413,24,0.003237555645487657,B07
Middle 10%,60-65,10574,46,0.0043502931719311515,B07
Middle 10%,65-70,8555,34,0.003974284044418469,B07
Middle 10%,70-75,230,1,0.004347826086956522,B07
Top 10%,40-45,3565,15,0.004207573632538569,B07
Top 10%,45-50,4765,20,0.004197271773347324,B07
Top 10%,50-55,5862,27,0.004605936540429887,B07
Top 10%,55-60,7510,23,0.0030625832223701733,B07
Top 10%,60-65,10728,45,0.0041946308724832215,B07
Top 10%,65-70,8540,36,0.004215456674473068,B07
Top 10%,70-75,244,3,0.012295081967213115,B07
Bottom 10%,40-45,3794,42,0.01107011070110701,B34
Bottom 10%,45-50,4969,32,0.006439927550815053,B34
Bottom 10%,50-55,5938,50,0.008420343550016841,B34
Bottom 10%,55-60,7538,56,0.007429026266914301,B34
Bottom 10%,60-65,10276,81,0.007882444530945894,B34
Bottom 10%,65-70,8466,56,0.006614694070399244,B34
Bottom 10%,70-75,234,3,0.01282051282051282,B34
Middle 10%,40-45,3583,34,0.009489254814401339,B34
Middle 10%,45-50,4900,50,0.01020408163265306,B34
Middle 10%,50-55,5892,57,0.009674134419551934,B34
Middle 10%,55-60,7487,59,0.007880325898223588,B34
Middle 10%,60-65,10540,90,0.008538899430740038,B34
Middle 10%,65-70,8588,76,0.008849557522123894,B34
Middle 10%,70-75,223,1,0.004484304932735426,B34
Top 10%,35-40,1,0,0,B34
Top 10%,40-45,3574,34,0.009513150531617236,B34
Top 10%,45-50,4773,46,0.009637544521265452,B34
Top 10%,50-55,5879,63,0.010716108181663549,B34
Top 10%,55-60,7425,48,0.006464646464646465,B34
Top 10%,60-65,10731,84,0.007827788649706457,B34
Top 10%,65-70,8597,69,0.008026055600790973,B34
Top 10%,70-75,234,1,0.004273504273504274,B34
Bottom 10%,40-45,3580,6,0.0016759776536312849,B35
Bottom 10%,45-50,4836,5,0.0010339123242349049,B35
Bottom 10%,50-55,5796,9,0.0015527950310559005,B35
Bottom 10%,55-60,7511,11,0.0014645187058980162,B35
Bottom 10%,60-65,10649,23,0.0021598272138228943,B35
Bottom 10%,65-70,8615,19,0.00220545560069646,B35
Bottom 10%,70-75,227,0,0,B35
Middle 10%,40-45,3698,3,8.112493239588967e-4,B35
Middle 10%,45-50,4892,7,0.0014309076042518397,B35
Middle 10%,50-55,5842,12,0.0020540910647038686,B35
Middle 10%,55-60,7319,10,0.0013663068725235689,B35
Middle 10%,60-65,10548,20,0.0018960940462646946,B35
Middle 10%,65-70,8648,22,0.002543940795559667,B35
Middle 10%,70-75,266,2,0.007518796992481203,B35
Top 10%,35-40,1,0,0,B35
Top 10%,40-45,3655,5,0.0013679890560875513,B35
Top 10%,45-50,4839,5,0.0010332713370531101,B35
Top 10%,50-55,5848,14,0.0023939808481532147,B35
Top 10%,55-60,7418,4,5.392289026691831e-4,B35
Top 10%,60-65,10652,25,0.0023469770935035674,B35
Top 10%,65-70,8574,29,0.0033823186377420107,B35
Top 10%,70-75,227,0,0,B35
Bottom 10%,40-45,3474,37,0.010650546919976972,B37
Bottom 10%,45-50,4733,44,0.009296429326008875,B37
Bottom 10%,50-55,5776,79,0.013677285318559556,B37
Bottom 10%,55-60,7390,95,0.012855209742895805,B37
Bottom 10%,60-65,10901,198,0.018163471241170535,B37
Bottom 10%,65-70,8711,252,0.02892894042015842,B37
Bottom 10%,70-75,229,6,0.026200873362445413,B37
Middle 10%,40-45,3627,35,0.00964984835952578,B37
Middle 10%,45-50,4742,56,0.01180936313791649,B37
Middle 10%,50-55,5989,87,0.01452663215895809,B37
Middle 10%,55-60,7407,114,0.01539084649655731,B37
Middle 10%,60-65,10517,193,0.018351240848150614,B37
Middle 10%,65-70,8718,189,0.021679284239504472,B37
Middle 10%,70-75,213,12,0.056338028169014086,B37
Top 10%,35-40,1,0,0,B37
Top 10%,40-45,4160,46,0.011057692307692308,B37
Top 10%,45-50,5414,59,0.010897672700406353,B37
Top 10%,50-55,6171,83,0.013450008102414519,B37
Top 10%,55-60,7313,129,0.0176398194995214,B37
Top 10%,60-65,9953,214,0.02150105495830403,B37
Top 10%,65-70,7992,253,0.03165665665665666,B37
Top 10%,70-75,210,7,0.03333333333333333,B37
Bottom 10%,35-40,1,0,0,B99
Bottom 10%,40-45,3787,2,5.281225244256667e-4,B99
Bottom 10%,45-50,5045,5,9.910802775024777e-4,B99
Bottom 10%,50-55,6053,7,0.001156451346439782,B99
Bottom 10%,55-60,7426,12,0.0016159439806086723,B99
Bottom 10%,60-65,10304,10,9.704968944099379e-4,B99
Bottom 10%,65-70,8397,28,0.0033345242348457784,B99
Bottom 10%,70-75,212,0,0,B99
Middle 10%,35-40,1,0,0,B99
Middle 10%,40-45,6107,5,8.187326019322089e-4,B99
Middle 10%,45-50,8294,8,9.645526886906198e-4,B99
Middle 10%,50-55,9727,15,0.001542099311195641,B99
Middle 10%,55-60,11906,12,0.0010078951789013943,B99
Middle 10%,60-65,17038,29,0.00170207770865125,B99
Middle 10%,65-70,13924,39,0.002800919276070095,B99
Middle 10%,70-75,380,1,0.002631578947368421,B99
Top 10%,40-45,3697,2,5.409791723018664e-4,B99
Top 10%,45-50,4973,2,4.021717273275689e-4,B99
Top 10%,50-55,5970,12,0.0020100502512562816,B99
Top 10%,55-60,7610,15,0.0019710906701708277,B99
Top 10%,60-65,10759,32,0.0029742541128357654,B99
Top 10%,65-70,8772,29,0.0033059735522115823,B99
Top 10%,70-75,213,0,0,B99
Bottom 10%,35-40,1,0,0,C34
Bottom 10%,40-45,3645,7,0.0019204389574759945,C34
Bottom 10%,45-50,4898,21,0.004287464271131074,C34
Bottom 10%,50-55,5918,38,0.006421088205474822,C34
Bottom 10%,55-60,7502,85,0.011330311916822182,C34
Bottom 10%,60-65,10431,137,0.013133927715463522,C34
Bottom 10%,65-70,8592,164,0.019087523277467412,C34
Bottom 10%,70-75,227,2,0.00881057268722467,C34
Middle 10%,40-45,3669,12,0.003270645952575634,C34
Middle 10%,45-50,4959,17,0.0034281105061504335,C34
Middle 10%,50-55,5819,51,0.00876439250730366,C34
Middle 10%,55-60,7434,107,0.014393327952649986,C34
Middle 10%,60-65,10475,196,0.018711217183770883,C34
Middle 10%,65-70,8647,210,0.024285879495778883,C34
Middle 10%,70-75,211,6,0.02843601895734597,C34
Top 10%,35-40,1,0,0,C34
Top 10%,40-45,3579,10,0.002794076557697681,C34
Top 10%,45-50,4861,16,0.0032915038058012754,C34
Top 10%,50-55,5818,75,0.012891027844620144,C34
Top 10%,55-60,7504,152,0.02025586353944563,C34
Top 10%,60-65,10776,292,0.027097253155159613,C34
Top 10%,65-70,8465,301,0.03555818074424099,C34
Top 10%,70-75,212,8,0.03773584905660377,C34
Bottom 10%,35-40,2,0,0,C44
Bottom 10%,40-45,3973,30,0.007550969041026932,C44
Bottom 10%,45-50,5170,53,0.010251450676982592,C44
Bottom 10%,50-55,6189,110,0.01777346905800614,C44
Bottom 10%,55-60,7204,196,0.027207107162687396,C44
Bottom 10%,60-65,10228,410,0.040086038326163476,C44
Bottom 10%,65-70,8241,476,0.05775998058488047,C44
Bottom 10%,70-75,208,14,0.0673076923076923,C44
Middle 10%,35-40,1,0,0,C44
Middle 10%,40-45,3602,61,0.01693503609106052,C44
Middle 10%,45-50,4889,103,0.021067703006749847,C44
Middle 10%,50-55,5880,222,0.03775510204081633,C44
Middle 10%,55-60,7445,372,0.04996642041638684,C44
Middle 10%,60-65,10576,800,0.07564296520423601,C44
Middle 10%,65-70,8596,860,0.10004653327128897,C44
Middle 10%,70-75,224,32,0.14285714285714285,C44
Top 10%,35-40,1,0,0,C44
Top 10%,40-45,3584,139,0.038783482142857144,C44
Top 10%,45-50,4824,252,0.05223880597014925,C44
Top 10%,50-55,5770,365,0.0632582322357019,C44
Top 10%,55-60,7448,712,0.09559613319011816,C44
Top 10%,60-65,10777,1406,0.13046302310476013,C44
Top 10%,65-70,8564,1451,0.1694301728164409,C44
Top 10%,70-75,246,55,0.22357723577235772,C44
Bottom 10%,35-40,1,0,0,C83
Bottom 10%,40-45,3550,7,0.001971830985915493,C83
Bottom 10%,45-50,4712,7,0.0014855687606112054,C83
Bottom 10%,50-55,5822,13,0.002232909653040192,C83
Bottom 10%,55-60,7464,25,0.00334941050375134,C83
Bottom 10%,60-65,10821,61,0.005637186951298401,C83
Bottom 10%,65-70,8626,63,0.007303501043357292,C83
Bottom 10%,70-75,218,3,0.013761467889908258,C83
Middle 10%,40-45,3679,7,0.0019026909486273443,C83
Middle 10%,45-50,4792,10,0.002086811352253756,C83
Middle 10%,50-55,6016,18,0.0029920212765957447,C83
Middle 10%,55-60,7460,28,0.0037533512064343165,C83
Middle 10%,60-65,10567,60,0.0056780543200529955,C83
Middle 10%,65-70,8481,70,0.008253743662303973,C83
Middle 10%,70-75,219,1,0.0045662100456621,C83
Top 10%,35-40,1,0,0,C83
Top 10%,40-45,3632,7,0.0019273127753303965,C83
Top 10%,45-50,4944,14,0.0028317152103559872,C83
Top 10%,50-55,5804,21,0.003618194348725017,C83
Top 10%,55-60,7449,49,0.006578064169687206,C83
Top 10%,60-65,10607,98,0.009239181672480437,C83
Top 10%,65-70,8530,80,0.009378663540445486,C83
Top 10%,70-75,247,2,0.008097165991902834,C83
Bottom 10%,40-45,3601,9,0.002499305748403221,C85
Bottom 10%,45-50,4632,8,0.0017271157167530224,C85
Bottom 10%,50-55,6008,20,0.003328894806924101,C85
Bottom 10%,55-60,7413,31,0.00418184270875489,C85
Bottom 10%,60-65,10782,70,0.006492301984789464,C85
Bottom 10%,65-70,8552,74,0.008652946679139382,C85
Bottom 10%,70-75,226,0,0,C85
Middle 10%,35-40,1,0,0,C85
Middle 10%,40-45,3519,10,0.002841716396703609,C85
Middle 10%,45-50,4898,16,0.0032666394446712946,C85
Middle 10%,50-55,5861,23,0.0039242450093840645,C85
Middle 10%,55-60,7548,45,0.005961844197138315,C85
Middle 10%,60-65,10592,76,0.007175226586102719,C85
Middle 10%,65-70,8594,61,0.007097975331626716,C85
Middle 10%,70-75,201,2,0.009950248756218905,C85
Top 10%,40-45,3792,8,0.002109704641350211,C85
Top 10%,45-50,5091,24,0.004714201532115498,C85
Top 10%,50-55,5877,30,0.005104645227156712,C85
Top 10%,55-60,7331,33,0.004501432273905334,C85
Top 10%,60-65,10315,92,0.008919049927290354,C85
Top 10%,65-70,8610,95,0.011033681765389082,C85
Top 10%,70-75,198,4,0.020202020202020204,C85
Bottom 10%,40-45,3701,4,0.0010807889759524452,C90
Bottom 10%,45-50,5019,7,0.001394700139470014,C90
Bottom 10%,50-55,5935,19,0.0032013479359730415,C90
Bottom 10%,55-60,7442,16,0.002149959688255845,C90
Bottom 10%,60-65,10505,43,0.004093288910042837,C90
Bottom 10%,65-70,8388,41,0.004887935145445875,C90
Bottom 10%,70-75,225,1,0.0044444444444444444,C90
Middle 10%,40-45,3628,1,2.756339581036384e-4,C90
Middle 10%,45-50,4904,10,0.0020391517128874386,C90
Middle 10%,50-55,5932,11,0.0018543492919757248,C90
Middle 10%,55-60,7457,26,0.0034866568325063697,C90
Middle 10%,60-65,10399,39,0.003750360611597269,C90
Middle 10%,65-70,8660,61,0.0070438799076212475,C90
Middle 10%,70-75,236,2,0.00847457627118644,C90
Top 10%,40-45,3533,6,0.0016982734220209455,C90
Top 10%,45-50,4897,8,0.0016336532570961813,C90
Top 10%,50-55,5827,12,0.0020593787540758536,C90
Top 10%,55-60,7566,29,0.003832936822627544,C90
Top 10%,60-65,10557,62,0.005872880553187459,C90
Top 10%,65-70,8611,66,0.0076646150272906746,C90
Top 10%,70-75,223,5,0.02242152466367713,C90
Bottom 10%,35-40,1,0,0,C91
Bottom 10%,40-45,3737,3,8.027829810008028e-4,C91
Bottom 10%,45-50,4917,7,0.0014236322961155175,C91
