icd,auc
A04,0.5061503447643027
A08,0.5197788869122224
A09,0.5114685049633816
A41,0.5222647632756482
A49,0.5238278918845056
A60,0.491790867468508
A63,0.5208783827468517
A69,0.5146593484004905
B00,0.5052915452831787
B01,0.5140839558806396
B02,0.5175336425217089
B07,0.5100966796616176
B27,0.5277228902494066
B34,0.5075620614793431
B35,0.5066784184828508
B37,0.5058088948434112
B86,0.5527382508675098
B99,0.5065642122965088
C34,0.553412037647724
C44,0.6163590415094744
C83,0.5504482931674175
C85,0.5202860931199339
C90,0.5645587914135334
C91,0.5764531696569473
D03,0.5454988436634318
D04,0.5741911920377986
D05,0.5683669271755047
D09,0.5002425692020587
D12,0.5401140527418106
D13,0.5131182018508561
D16,0.5087091534783088
D17,0.5309495159462034
D18,0.5109683939893381
D21,0.5078603744449058
D22,0.5232529627389779
D23,0.5112848898222445
D24,0.5430868728408341
D25,0.5743929398339062
D27,0.5357948397083367
D31,0.5100928233389806
D32,0.531831392397354
D33,0.5333108094773534
D35,0.5208547662163948
D36,0.5097539438637831
D47,0.5157156771524245
D50,0.5229468794405074
D51,0.5287542986482545
D58,0.4992484256001947
D62,0.5030700766468686
D64,0.5179078963717757
D68,0.5657433527646805
D69,0.5029888612192918
D70,0.5059288205555428
D72,0.5026496138035276
D75,0.5129765509870646
D86,0.5647619596235498
E03,0.6131212215622789
E04,0.5642929299060081
E05,0.5949212698455928
E06,0.5577359979865623
E10,0.556929992238495
E11,0.6354404830521694
E16,0.5132474869274247
E21,0.5456740798933147
E22,0.4993940750832418
E23,0.5014041049173598
E27,0.5168484615300061
E28,0.5133091290167088
E29,0.5174171301083116
E34,0.4993536182813178
E66,0.6026742979097817
E73,0.5085441206569131
E78,0.5819077111051673
E83,0.5079847824430345
E86,0.5067421007750025
E87,0.5233391311327169
F02,0.533552895952567
F03,0.5422914665999576
F05,0.5340887838581141
F06,0.51895213754609415
F10,0.5771338977954521
F11,0.5427430748649928
F12,0.5064858262422606
F13,0.5504620644296024
F15,0.5463142521053704
F17,0.5426635617229904
F19,0.5611492593486318
F20,0.5506230264758468
F22,0.5499387823652374
F25,0.5091851023351982
F29,0.540395048276766
F31,0.5611121771737194
F32,0.5489649107158715
F33,0.5445481229964338
F34,0.5188724191105908
F39,0.5520940734194217
F40,0.5203228086500108
F41,0.540156873796671
F42,0.5292856683772079
F43,0.5225919329412758
F44,0.514645625876444
F45,0.5231534954297183
F48,0.5010914988862091
F50,0.5038597383357293
F51,0.5072936626461405
F60,0.5520621888884254
F90,0.5310019152270978
F99,0.5332115182336099
G20,0.5168134733131442
G24,0.5130350839392278
G25,0.5567942648591047
G30,0.5346914734970732
G35,0.5916682081742706
G40,0.5371070422881136
G43,0.5650502221710816
G44,0.5260785035529901
G45,0.524765181118928
G47,0.5131587246263928
G50,0.5256073193785057
G51,0.5069603083428208
G54,0.5243873043951889
G56,0.561053646420573
G57,0.5137435140079726
G58,0.5221421665210937
G61,0.5149280758964788
G72,0.5047828039625233
G81,0.5205668516184982
G93,0.5051063131285547
G95,0.4967454415021343
G97,0.5314757071254268
H00,0.5221144252833496
H01,0.5066879658110063
H02,0.5096972288508302
H04,0.5077270926078717
H05,0.5254833922193073
H10,0.5234633450459688
H11,0.5127809864337451
H16,0.5063759292392838
H18,0.5382641379293004
H20,0.4988669904425826
H25,0.504808893756768
H26,0.5198351781735535
H33,0.5539155908680323
H34,0.5109565018941497
H35,0.5260680287011804
H40,0.5778039599405932
H43,0.5143890838253689
H46,0.5258274475889781
H47,0.5009685494790445
H49,0.5066209650654573
H50,0.5197839332118586
