icd,auc
A04,0.5096499363520669
A08,0.5227886709227562
A09,0.5189447504171872
A41,0.5113895540688908
A49,0.5120623570591931
B00,0.5154933023847166
B02,0.5081310936479891
B07,0.5105635625624957
B34,0.5090463538990774
B35,0.5058789802860082
B37,0.5098190732749567
B99,0.5144672884486233
C34,0.5506177719642134
C44,0.5957747631836362
C83,0.5388777204520508
C85,0.5188799228420949
C90,0.5397590445336167
C91,0.6180659906120087
D03,0.5566138746220919
D04,0.5315321207994868
D05,0.5612201469666739
D09,0.5614156932041592
D12,0.5704200163776392
D13,0.5202054877585609
D16,0.5208948923649723
D17,0.5354410130781763
D18,0.515853544189836
D21,0.5026361863249672
D22,0.5518672787331632
D23,0.5169030761359653
D24,0.5511990960304772
D25,0.5733261981344377
D27,0.528620618386451
D32,0.5853353704031947
D33,0.5432427658693648
D35,0.5139523920304329
D36,0.5415549587439545
D47,0.5588471353160759
D50,0.5153634481333672
D51,0.567744813669427
D64,0.5192671291794536
D68,0.5116351853134312
D69,0.5118086297691402
D70,0.5043286129726344
D72,0.5116247001384857
D75,0.5326758146590876
D86,0.5889417138938893
E03,0.6212880635319505
E04,0.6311607290769836
E05,0.5738350716624943
E06,0.5189758822698157
E10,0.5465377017638738
E11,0.6395743046925597
E16,0.5132360255556941
E21,0.5699370890028302
E22,0.5249991337113242
E23,0.5061110986360985
E27,0.5047358407268147
E28,0.558500869368769
E66,0.5855367251227472
E78,0.5773700473314198
E83,0.5117306101840641
E86,0.5072224676701969
E87,0.519654766685115
F02,0.5739341875864279
F03,0.5741054446871064
F05,0.5468636305033459
F06,0.5423350618673204
F10,0.5618630885866256
F17,0.5341471881089086
F20,0.5607157094852016
F22,0.5235112799760387
F29,0.559930836826986
F31,0.5515246622768754
F32,0.5521111239707753
F33,0.5542507803207196
F40,0.52575277708782
F41,0.5437146384497844
F43,0.5494378132962118
F45,0.5271832720351532
F60,0.5654851835344958
G20,0.5631302657244415
G24,0.5228886292554328
G25,0.5461000754768692
G30,0.6222293337000189
G35,0.5737768290298046
G40,0.5265892969559745
G43,0.5688227344838077
G44,0.5376831780855241
