target_icd,rank,prs_icd,auc
C34,1,C34,0.553412037647724
C34,2,F17,0.5384873464955702
C34,3,J44,0.5381347064753612
C34,4,J43,0.5324535017414601
C34,5,I71,0.530721346163595
C34,6,N62,0.528944017163172
C34,7,I70,0.5269139847853532
C34,8,E21,0.5262014734648143
C34,9,I50,0.5259907465130983
C34,10,I63,0.5250019759859091
C44,1,C44,0.6163590415094744
C44,2,L57,0.5750880181693346
C44,3,D04,0.5506540185698171
C44,4,D25,0.5176780808056586
C44,5,K50,0.5142134491016459
C44,6,I83,0.5137152115238033
C44,7,N40,0.5127641898626032
C44,8,K81,0.5104727317905562
C44,9,I87,0.5095834044983619
C44,10,D03,0.5094169195990814
D03,1,C44,0.5862371146724782
D03,2,D04,0.5703978186137287
D03,3,L57,0.5636065698907421
D03,4,D03,0.5454988436634318
D03,5,N81,0.5338508095979699
D03,6,D32,0.5307162526503048
D03,7,D25,0.5293397941450797
D03,8,D05,0.5282407657316609
D03,9,K35,0.5271576451120564
D03,10,S42,0.5270384034529888
D04,1,L57,0.5911677316507273
D04,2,C44,0.5817621202803913
D04,3,D04,0.5741911920377986
D04,4,D03,0.520300555091066
D04,5,G47,0.519619835874581
D04,6,N80,0.5187851957155347
D04,7,K51,0.5185086317621884
D04,8,N40,0.5171071661143605
D04,9,N81,0.5168561629811068
D04,10,I50,0.5147763008535221
D05,1,D05,0.5683669271755047
D05,2,D32,0.5195328623207914
D05,3,N62,0.5167915187889837
D05,4,M06,0.5163605159613616
D05,5,G25,0.5154245234547253
D05,6,D51,0.5152785312572966
D05,7,K60,0.515034847230764
D05,8,D24,0.5149386910061422
D05,9,M05,0.5145335961439672
D05,10,N42,0.5142064913022074
D24,1,D24,0.5430868728408341
D24,2,D05,0.5367340162533456
D24,3,N62,0.5211237909594686
D24,4,K80,0.5206996972868628
D24,5,N20,0.5178286333119357
D24,6,N40,0.5162071840954923
D24,7,H33,0.5157229013751491
D24,8,D25,0.5149647344660333
D24,9,E10,0.5148442395169613
D24,10,I70,0.5145676299689869
D25,1,D25,0.5743929398339062
D25,2,N80,0.5168323216088573
D25,3,D32,0.5144937909855061
D25,4,J42,0.511756234683241
D25,5,K57,0.511438281443357
D25,6,I87,0.5113085176701925
D25,7,E21,0.5101251743812028
D25,8,E16,0.5098773295238408
D25,9,I10,0.509849761266816
D25,10,I70,0.5093673288558214
D32,1,D25,0.5335614754036035
D32,2,D32,0.531831392397354
D32,3,C44,0.5304435525670901
D32,4,K35,0.5297967358623485
D32,5,I71,0.5296644158094761
D32,6,I70,0.529655220374341
D32,7,I72,0.5290167378266274
D32,8,L97,0.528558528927862
D32,9,S32,0.5281787548790132
D32,10,F03,0.5274369101428368
D51,1,M51,0.530363681968121
D51,2,D51,0.5287542986482545
D51,3,E03,0.5285830878789348
D51,4,M06,0.5258681151943478
D51,5,K43,0.5247430922648191
D51,6,S82,0.5242756541195966
D51,7,E66,0.5236977023101325
D51,8,M50,0.5232976573802891
D51,9,I50,0.5217538895872665
D51,10,E16,0.5201374005441444
E03,1,E03,0.6131212215622789
E03,2,E06,0.5437964678992058
E03,3,D51,0.536477037101592
E03,4,M06,0.5330893566117006
E03,5,M05,0.530724143813273
E03,6,E66,0.5239703008224725
E03,7,M32,0.5196395120993497
E03,8,E10,0.5170649351636856
E03,9,J35,0.5155275098524754
E03,10,E16,0.5150939336150778
E04,1,E04,0.5642929299060081
E04,2,E05,0.5472194104461245
E04,3,D25,0.5164210987865424
E04,4,E06,0.5141390342946578
E04,5,E11,0.5122336970915016
E04,6,N80,0.5106354717740615
E04,7,I50,0.5105789747516468
E04,8,E66,0.5097815914121006
E04,9,I48,0.5094182378803419
E04,10,M51,0.5093819514389456
E05,1,E05,0.5949212698455928
E05,2,E04,0.5565940043236749
E05,3,M05,0.533782441445632
E05,4,D51,0.5321795407268708
E05,5,M06,0.5308010655881337
E05,6,E10,0.5261242610670065
E05,7,E06,0.5209308424351942
E05,8,E03,0.5209116619636359
E05,9,J35,0.5204771361640318
E05,10,S82,0.5193545223795751
E06,1,E03,0.6283636423782082
E06,2,D51,0.5644036171681159
E06,3,E06,0.5577359979865623
E06,4,M05,0.5571081160363843
E06,5,M06,0.5532100022294119
E06,6,E05,0.551137923708591
E06,7,E10,0.5379036313171018
E06,8,M32,0.5309333994803682
E06,9,E16,0.5259990134714745
E06,10,E04,0.5218087322785206
E10,1,E11,0.5640003924189076
E10,2,D51,0.5581642925136957
E10,3,E10,0.556929992238495
E10,4,E03,0.5475404027253438
E10,5,M06,0.5437839096439702
E10,6,E05,0.5407261204722142
E10,7,E66,0.5404338501126578
E10,8,M05,0.5386824187171761
E10,9,I10,0.5374525822768359
E10,10,E16,0.5296179311342303
E11,1,E11,0.6354404830521694
E11,2,E66,0.5819384732444021
E11,3,I10,0.5598373769201683
E11,4,I71,0.5504333078791458
E11,5,I70,0.5452147887486583
E11,6,I50,0.5414245793795125
