target_icd,rank,prs_icd,auc
C34,1,C34,0.5506177719642134
C34,2,J44,0.545481454142259
C34,3,J43,0.5386887321124243
C34,4,F17,0.5379151754034407
C34,5,F10,0.5300942256854891
C34,6,I71,0.5244411021596178
C34,7,F33,0.5234708335310242
C34,8,I70,0.52342737731791
C34,9,F32,0.5231863654516414
C34,10,F60,0.5186419992104587
C44,1,C44,0.5957747631836362
C44,2,L57,0.5381281408923606
C44,3,D04,0.5287633249102397
C44,4,J40,0.5090127904879108
C44,5,N40,0.5081772795143734
C44,6,I83,0.5078574443709578
C44,7,C34,0.506536781330232
C44,8,F41,0.5061067335340491
C44,9,K35,0.5059271357337926
C44,10,H33,0.505704381924573
D03,1,D03,0.5566138746220919
D03,2,C44,0.5406622042932373
D03,3,D04,0.5313370902438579
D03,4,L57,0.5297790536480663
D03,5,N41,0.5252443228892179
D03,6,N62,0.5246506245770325
D03,7,D25,0.5244909173081598
D03,8,I48,0.5217653859406765
D03,9,M16,0.5209342028568065
D03,10,I72,0.520841224526986
D04,1,C44,0.553114622200879
D04,2,L57,0.5516480119785219
D04,3,D04,0.5315321207994868
D04,4,M47,0.5281612209672909
D04,5,D03,0.5260602746300206
D04,6,D05,0.5256810561683657
D04,7,J40,0.5253845198355194
D04,8,K35,0.5253111797777446
D04,9,E78,0.5231691668031927
D04,10,M50,0.5206204978165108
D05,1,D05,0.5612201469666739
D05,2,D24,0.5292014317404412
D05,3,D32,0.5150235590441692
D05,4,N62,0.5132955644953862
D05,5,C44,0.5118115842630697
D05,6,D25,0.5100570784851007
D05,7,K40,0.5082764517622491
D05,8,S32,0.5078254483056416
D05,9,S82,0.5075254727854325
D05,10,F17,0.5074028740776595
D24,1,D24,0.5511990960304772
D24,2,D05,0.5402874380413807
D24,3,D25,0.5224208945441466
D24,4,N62,0.52148921120948
D24,5,D32,0.5211948768970434
D24,6,E78,0.5175776591756329
D24,7,N81,0.5167952681681827
D24,8,I21,0.5164624372125021
D24,9,K50,0.5148568415865274
D24,10,I87,0.5148110959774869
D25,1,D25,0.5733261981344377
D25,2,N80,0.5191388539114967
D25,3,D32,0.5190656629026857
D25,4,N40,0.5112635223627371
D25,5,N81,0.5097839206751961
D25,6,E66,0.507814617662655
D25,7,E11,0.50765662231734
D25,8,N43,0.5075263508977436
D25,9,N62,0.5075168204728864
D25,10,I48,0.5073995581745313
D32,1,D32,0.5853353704031947
D32,2,D25,0.5419188383122998
D32,3,E66,0.5293993201077021
D32,4,M41,0.5239505747046137
D32,5,K42,0.5228978112904107
D32,6,N81,0.5223355357085627
D32,7,J35,0.521799832362061
D32,8,G43,0.5213663670657346
D32,9,N18,0.5200947388172465
D32,10,E21,0.5197153068535222
D51,1,D51,0.567744813669427
D51,2,E03,0.5481014465543194
D51,3,I71,0.5361620291884986
D51,4,M51,0.5355958903136937
D51,5,M47,0.533110653603332
D51,6,M05,0.5327037647977119
D51,7,E11,0.5309679735568656
D51,8,F32,0.5309549030538959
D51,9,I10,0.5306486329411401
D51,10,M06,0.5282537801150234
E03,1,E03,0.6212880635319505
E03,2,E06,0.5355870423611235
E03,3,M05,0.5335220646028351
E03,4,D51,0.5302205746470553
E03,5,M06,0.529476872371637
E03,6,E66,0.5226093350085502
E03,7,J35,0.5210490128832208
E03,8,I71,0.5210178200778341
