target_icd,rank,prs_icd,auc,method
A04,1,I20,0.5259454005160866,lassosum2
A04,2,I95,0.5221470290858554,LDpred2
A04,3,I63,0.5209954866710559,LDpred2
A04,4,D62,0.5207618802846194,LDpred2
A04,5,K30,0.5193928637064581,LDpred2
A04,6,Q24,0.5188382371616396,C_T
A04,7,A04,0.5183655990356094,lassosum2
A04,8,K40,0.5183065861517514,C_T
A04,9,I69,0.518305633929675,LDpred2
A04,10,K43,0.517803454705339,LDpred2
A08,1,G51,0.5365861313153717,C_T
A08,2,N45,0.5291001445431811,LDpred2
A08,3,R05,0.5272540339772918,LDpred2
A08,4,R26,0.5265194574021548,LDpred2
A08,5,M87,0.5249804446721673,C_T
A08,6,K80,0.5234237923158402,LDpred2
A08,7,K25,0.5231691000483012,C_T
A08,8,L80,0.5218645227450294,lassosum2
A08,9,R25,0.5217529172079887,LDpred2
A08,10,I21,0.5214917287576408,LDpred2
A09,1,S72,0.5479152057696578,lassosum2
A09,2,K43,0.5442965219787375,LDpred2
A09,3,M15,0.5412678419362704,lassosum2
A09,4,N31,0.5396526381638349,lassosum2
A09,5,N62,0.5381970379741416,LDpred2
A09,6,L70,0.5348626419042054,lassosum2
A09,7,H01,0.5337330301288076,C_T
A09,8,D56,0.533128226896714,C_T
A09,9,N45,0.5322177247466233,LDpred2
A09,10,R25,0.5319682067181419,LDpred2
A15,1,C67,0.5935177979753783,LDpred2
A15,2,I99,0.5712166413281334,C_T
A15,3,K01,0.570762756753341,lassosum2
A15,4,R09,0.5676962786476454,C_T
A15,5,K81,0.5653619429828556,lassosum2
A15,6,G50,0.5626376279508529,lassosum2
A15,7,N91,0.5591753733505382,lassosum2
A15,8,L89,0.5586347148586409,LDpred2
A15,9,H66,0.5558137948029527,lassosum2
A15,10,N87,0.5547027493691056,LDpred2
A40,1,N45,0.5782087621099271,C_T
A40,2,N87,0.5723137120752325,C_T
A40,3,R30,0.5709825923869266,C_T
A40,4,M87,0.5708612209262267,lassosum2
A40,5,I35,0.566846016138022,C_T
A40,6,N97,0.5661356665829356,lassosum2
A40,7,K20,0.5660873742471707,C_T
A40,8,K21,0.5652960035440645,C_T
A40,9,M51,0.5636643684526392,C_T
A40,10,B95,0.561386595278446,lassosum2
A41,1,N17,0.5269855418746322,LDpred2
A41,2,L97,0.5234949738693504,LDpred2
A41,3,E10,0.5224304419618175,LDpred2
A41,4,E11,0.5216644054375602,LDpred2
A41,5,I13,0.5198948547642822,LDpred2
A41,6,J96,0.5183754892182662,LDpred2
A41,7,I10,0.5178576043530851,LDpred2
A41,8,R35,0.5164064466856898,lassosum2
A41,9,E86,0.5162867391556424,LDpred2
A41,10,N18,0.5161862406804782,LDpred2
A49,1,E10,0.5407214324217908,LDpred2
A49,2,E11,0.5381925313836518,C_T
A49,3,L89,0.5369629080587159,LDpred2
A49,4,K43,0.5369016160825875,LDpred2
A49,5,R05,0.5331707202179725,LDpred2
A49,6,R79,0.5325988537805645,LDpred2
A49,7,M66,0.5279830450507526,LDpred2
A49,8,E55,0.5277500992974532,LDpred2
A49,9,I11,0.5269196247249341,lassosum2
A49,10,I95,0.5267229029518484,LDpred2
A51,1,R79,0.621006781864451,C_T
A51,2,C77,0.602732119086835,C_T
A51,3,H66,0.6003554306624491,lassosum2
A51,4,K40,0.5992200805334957,LDpred2
A51,5,M32,0.5919513703889966,lassosum2
A51,6,N43,0.5918865770222435,LDpred2
A51,7,N30,0.5894971284727701,LDpred2
A51,8,C67,0.5864950541646639,lassosum2
A51,9,I95,0.584546957438392,lassosum2
A51,10,H25,0.581959245027253,LDpred2
A52,1,D70,0.58002558834051,C_T
A52,2,L97,0.5722216574464176,LDpred2
A52,3,R05,0.5701352030799728,C_T
A52,4,I69,0.5657148865152035,LDpred2
A52,5,C80,0.5643060727274032,lassosum2
A52,6,L89,0.5619760634104074,lassosum2
A52,7,D05,0.561703129493456,LDpred2
A52,8,E72,0.5603150901524059,LDpred2
A52,9,H25,0.5601193911291524,LDpred2
A52,10,I65,0.5567805755996269,LDpred2
A53,1,H21,0.5476278910595096,C_T
A53,2,M51,0.5466569836650668,LDpred2
A53,3,H46,0.5406847846685435,lassosum2
A53,4,I35,0.5319965531620054,C_T
A53,5,J42,0.5316812984763468,C_T
A53,6,N62,0.5291144111785583,C_T
A53,7,N31,0.5282301538562677,LDpred2
A53,8,I63,0.5256657447285988,lassosum2
A53,9,A40,0.5254608782214697,lassosum2
A53,10,K85,0.525441887606618,LDpred2
A54,1,R16,0.5700763365159189,LDpred2
A54,2,E78,0.5664084123930836,C_T
A54,3,H01,0.5657721874242108,LDpred2
A54,4,N31,0.5639561473801229,LDpred2
A54,5,D32,0.5602194520535686,LDpred2
A54,6,I50,0.5573346494255683,lassosum2
A54,7,J43,0.5571694208898006,lassosum2
A54,8,B30,0.5527768590310709,LDpred2
A54,9,E73,0.5512664760394288,C_T
A54,10,E11,0.5510471248257593,lassosum2
A56,1,R52,0.6270448391147504,lassosum2
A56,2,J35,0.6233456782474618,C_T
A56,3,M80,0.6230512863361398,lassosum2
A56,4,K44,0.621355026665575,LDpred2
A56,5,C83,0.6200064631271689,LDpred2
A56,6,N14,0.6051366584511235,lassosum2
A56,7,N63,0.6021478627873559,lassosum2
A56,8,R04,0.6005703753627263,LDpred2
A56,9,L63,0.5983354510400738,LDpred2
A56,10,I20,0.5964949148842129,lassosum2
A59,1,B35,0.5530784229755255,LDpred2
A59,2,J15,0.5501999089744916,lassosum2
A59,3,R05,0.5456116597436429,lassosum2
A59,4,M53,0.5434952210634272,C_T
A59,5,I69,0.5425355064578803,C_T
A59,6,C64,0.5421083411425192,LDpred2
A59,7,H17,0.5396868627263451,LDpred2
A59,8,I25,0.5393619785870483,lassosum2
A59,9,C67,0.5386527164807453,lassosum2
A59,10,K02,0.5384573642400741,LDpred2
A60,1,I95,0.5316643526845526,LDpred2
A60,2,M10,0.5308423385670233,C_T
A60,3,I34,0.5304701478078756,C_T
A60,4,M32,0.5304073146564421,C_T
A60,5,K50,0.5292060836774918,C_T
A60,6,H10,0.526931844349516,C_T
A60,7,M51,0.5258334047427712,C_T
A60,8,I21,0.5257917508725056,lassosum2
A60,9,N97,0.5255886781803714,LDpred2
A60,10,N91,0.5254781906503513,C_T
A63,1,I50,0.5386566981156093,LDpred2
A63,2,L28,0.5367272941201172,LDpred2
A63,3,N31,0.5357478489833808,LDpred2
A63,4,M05,0.5310196746449098,LDpred2
A63,5,C44,0.5307904160389971,lassosum2
A63,6,I34,0.5306854463595905,LDpred2
A63,7,C67,0.5277032284010347,C_T
A63,8,I99,0.5257442961877066,LDpred2
A63,9,Q61,0.5256319493115416,C_T
A63,10,N17,0.525377027624574,C_T
A64,1,R04,0.544521659199136,lassosum2
A64,2,K72,0.5417470241068185,C_T
A64,3,N34,0.541346103924493,LDpred2
A64,4,K02,0.5384365249636656,LDpred2
A64,5,R22,0.5351187828947722,lassosum2
A64,6,B95,0.533812324862574,C_T
A64,7,D63,0.5337153231580827,lassosum2
A64,8,S42,0.5334768348245348,C_T
A64,9,H25,0.5325941693903683,C_T
A64,10,L63,0.5322087624343494,LDpred2
A74,1,I25,0.6177176240856361,lassosum2
A74,2,C83,0.5932723680042942,LDpred2
A74,3,I35,0.5892163860207331,lassosum2
A74,4,G72,0.5866448452200297,LDpred2
A74,5,I13,0.5799302542229203,lassosum2
A74,6,N63,0.5762570076231566,lassosum2
A74,7,S05,0.5684332544515659,C_T
A74,8,I12,0.5673524998204821,lassosum2
A74,9,J42,0.564040062241769,C_T
A74,10,M87,0.5622690361434088,C_T
B00,1,E55,0.5233455580840073,lassosum2
B00,2,L28,0.5194750036374204,LDpred2
B00,3,I34,0.5192618459380414,C_T
B00,4,R05,0.5186116880248484,C_T
B00,5,H65,0.5184647832208663,C_T
B00,6,N30,0.5183940853267174,lassosum2
B00,7,K74,0.5179523508342603,LDpred2
B00,8,R12,0.5178613639867937,lassosum2
B00,9,E86,0.5169307266550112,C_T
B00,10,I85,0.5161517913695353,LDpred2
B01,1,H21,0.5759015127266707,lassosum2
B01,2,L97,0.5746380411553342,C_T
B01,3,C64,0.5701804824339172,lassosum2
B01,4,I83,0.5640506486327475,C_T
B01,5,H65,0.5625268275327178,LDpred2
B01,6,R04,0.562111754748859,C_T
B01,7,K35,0.5599195144032321,C_T
B01,8,B36,0.5597365204021335,C_T
B01,9,H46,0.5597188674323779,lassosum2
B01,10,R05,0.5568798565362743,C_T
B02,1,N30,0.5266660376319272,LDpred2
B02,2,E11,0.5251235774617433,lassosum2
B02,3,L21,0.5248602906288429,C_T
B02,4,E55,0.5228359734642174,lassosum2
B02,5,C50,0.522205105730679,lassosum2
B02,6,K37,0.5212588061385779,LDpred2
B02,7,L02,0.5182046589945295,LDpred2
B02,8,D32,0.5181641281264486,LDpred2
B02,9,B30,0.518156852784925,LDpred2
B02,10,D25,0.5176352015595692,lassosum2
B07,1,K81,0.5281492769985607,C_T
B07,2,N14,0.5263856805508165,lassosum2
B07,3,M20,0.5262425599758541,lassosum2
B07,4,R30,0.5252233485201656,LDpred2
B07,5,G51,0.5251122814373665,lassosum2
B07,6,I31,0.5231387923515534,lassosum2
B07,7,I46,0.5225223080818746,LDpred2
B07,8,M86,0.5215230113732672,C_T
B07,9,I33,0.5212736432622203,lassosum2
B07,10,R73,0.5209226809500129,LDpred2
B17,1,R04,0.5873174997752557,C_T
B17,2,E11,0.5712408253274466,lassosum2
B17,3,K21,0.5702164126315927,LDpred2
B17,4,K20,0.5701762550638148,LDpred2
B17,5,R39,0.5688508799774286,C_T
B17,6,C67,0.5680631780847532,lassosum2
B17,7,E72,0.5585827811107718,LDpred2
B17,8,E10,0.5583988259167578,LDpred2
B17,9,H60,0.5578213168934723,lassosum2
B17,10,H66,0.5577143481321662,C_T
B18,1,H69,0.5263637533430505,C_T
B18,2,N34,0.5214485888676973,C_T
B18,3,I43,0.5210796480354499,LDpred2
B18,4,M87,0.5208329916971267,lassosum2
B18,5,C77,0.5207086309351442,LDpred2
B18,6,I35,0.5192760679754878,C_T
B18,7,B95,0.5189888316067499,lassosum2
B18,8,H21,0.518331535933228,C_T
B18,9,J80,0.5178997910898908,lassosum2
B18,10,N17,0.5178748513213995,LDpred2
B19,1,N18,0.5279986241979989,LDpred2
B19,2,I43,0.5270194835874635,LDpred2
B19,3,E87,0.525770624591538,LDpred2
B19,4,L97,0.5239806161181595,LDpred2
B19,5,E51,0.5223957592465983,LDpred2
B19,6,E43,0.521468835435638,LDpred2
B19,7,H69,0.5205814926818071,C_T
B19,8,N17,0.5204155381626341,LDpred2
B19,9,B35,0.5202543727559648,lassosum2
B19,10,M87,0.5201062187000214,lassosum2
B20,1,R12,0.5192215971809948,C_T
B20,2,I31,0.5191906303327432,C_T
B20,3,D56,0.5161421935787223,C_T
B20,4,A40,0.5159089592088841,C_T
B20,5,J42,0.5149983613308564,LDpred2
B20,6,N45,0.5138632628109951,LDpred2
B20,7,N18,0.5138155353343665,LDpred2
B20,8,R20,0.513271154808962,lassosum2
B20,9,K81,0.5131375024514004,LDpred2
B20,10,I10,0.5131060889613663,LDpred2
B25,1,D63,0.5863287327938469,LDpred2
B25,2,E87,0.5824681635065319,lassosum2
B25,3,I13,0.5784302666171919,C_T
B25,4,N19,0.5772792544938878,LDpred2
B25,5,I12,0.5728080005130134,lassosum2
B25,6,M41,0.5694659023386395,LDpred2
B25,7,L97,0.5618313625107717,C_T
B25,8,N18,0.5608141004523839,C_T
B25,9,D51,0.559516836306583,C_T
B25,10,M50,0.5581434756468536,LDpred2
B30,1,R26,0.5395555855499932,lassosum2
B30,2,R22,0.5374794951901948,lassosum2
B30,3,N13,0.5369424473350894,LDpred2
B30,4,M76,0.535991233238527,LDpred2
B30,5,M11,0.5354565439474934,LDpred2
B30,6,M81,0.533961564411234,C_T
B30,7,C18,0.5338094896435991,C_T
B30,8,I27,0.5327277501728243,LDpred2
B30,9,Q24,0.5325854013544951,lassosum2
B30,10,N14,0.5322862934696485,LDpred2
B33,1,C50,0.5744107095714783,lassosum2
B33,2,R25,0.571309263657535,LDpred2
B33,3,R79,0.5689275227642991,C_T
B33,4,D05,0.5667882694135614,LDpred2
B33,5,I26,0.5573317973364775,C_T
B33,6,J22,0.5562720564748248,C_T
B33,7,H43,0.5503704168450674,C_T
B33,8,D63,0.5496445823103417,C_T
B33,9,H46,0.5489123201931287,lassosum2
B33,10,R39,0.5485683334847543,C_T
B34,1,N35,0.5186122773889188,C_T
B34,2,M66,0.5168516751727066,LDpred2
B34,3,R42,0.5165952347786735,LDpred2
B34,4,M19,0.5165917084893887,lassosum2
B34,5,M53,0.5158692910907516,LDpred2
B34,6,M51,0.515814644059388,lassosum2
B34,7,K81,0.5148339336447734,LDpred2
B34,8,I83,0.5140899953018407,LDpred2
B34,9,R61,0.5139264298615339,LDpred2
B34,10,M76,0.5137656006810722,LDpred2
B35,1,J03,0.5177297506684426,LDpred2
B35,2,B35,0.5173648253989993,LDpred2
B35,3,M11,0.5152766563081363,LDpred2
B35,4,L97,0.5142888842064365,LDpred2
B35,5,E11,0.5139157078933607,LDpred2
B35,6,M16,0.5133706575206599,lassosum2
B35,7,M32,0.5133345303429435,lassosum2
B35,8,I49,0.5121449352352173,LDpred2
B35,9,M20,0.5119651362292097,LDpred2
B35,10,K01,0.511763397225456,LDpred2
B36,1,R79,0.5460264168742306,LDpred2
B36,2,H01,0.5391793617218024,lassosum2
B36,3,D63,0.5389603281725982,LDpred2
B36,4,H66,0.5382080627979864,lassosum2
B36,5,I20,0.5359480878124029,lassosum2
B36,6,K74,0.5302730529295697,LDpred2
B36,7,M66,0.5295050526125498,lassosum2
B36,8,L28,0.529264912968431,lassosum2
B36,9,I12,0.5288792724950816,LDpred2
B36,10,I13,0.5288668723248542,LDpred2
B37,1,E10,0.5192093370961005,LDpred2
B37,2,E11,0.516424568651564,LDpred2
B37,3,R61,0.5163730940152131,LDpred2
B37,4,R35,0.5155453076537394,LDpred2
B37,5,D62,0.5149716659371054,LDpred2
B37,6,I12,0.5141270710251769,LDpred2
B37,7,M51,0.5137427036495129,C_T
B37,8,E87,0.5126603170450332,lassosum2
B37,9,L97,0.5126528540324966,LDpred2
B37,10,I10,0.5126125503923643,lassosum2
B49,1,I83,0.5580798152284707,C_T
B49,2,K44,0.5549119540065792,C_T
B49,3,L81,0.5538230014837942,C_T
B49,4,N97,0.5516969861598392,LDpred2
B49,5,I27,0.5503596266724504,LDpred2
B49,6,K50,0.5492527669144602,C_T
