target_icd,rank,prs_icd,auc,method
C34,1,C34,0.553412037647724,LDpred2
C34,2,F17,0.5384873464955702,lassosum2
C34,3,J44,0.5381347064753612,LDpred2
C34,4,N87,0.5340407623068675,lassosum2
C34,5,J43,0.5324535017414601,lassosum2
C34,6,J93,0.5321223949458327,LDpred2
C34,7,D86,0.5317914910092443,C+T
C34,8,I71,0.530721346163595,LDpred2
C34,9,N62,0.528944017163172,lassosum2
C34,10,D17,0.5288020138721128,lassosum2
C44,1,C44,0.6163590415094744,LDpred2
C44,2,L57,0.5750880181693346,lassosum2
C44,3,D04,0.5506540185698171,LDpred2
C44,4,D23,0.5232493095591556,C+T
C44,5,D22,0.5227065812219885,LDpred2
C44,6,D25,0.5176780808056586,lassosum2
C44,7,H47,0.5156400761236742,lassosum2
C44,8,I88,0.5144843263875257,lassosum2
C44,9,K50,0.5142134491016459,lassosum2
C44,10,C91,0.514013001854712,lassosum2
D03,1,C44,0.5862371146724782,LDpred2
D03,2,D04,0.5703978186137287,LDpred2
D03,3,L57,0.5636065698907421,lassosum2
D03,4,D23,0.5635668710185611,C+T
D03,5,D22,0.5524853873970186,LDpred2
D03,6,D03,0.5454988436634318,LDpred2
D03,7,D31,0.5424270989901748,LDpred2
D03,8,N81,0.5338508095979699,lassosum2
D03,9,L21,0.5329082831644925,lassosum2
D03,10,F51,0.5325131787005601,LDpred2
D04,1,L57,0.5911677316507273,lassosum2
D04,2,C44,0.5817621202803913,lassosum2
D04,3,D04,0.5741911920377986,LDpred2
D04,4,M72,0.5300218207728992,C+T
D04,5,K25,0.5284980663643999,lassosum2
D04,6,D23,0.528063885481519,C+T
D04,7,J69,0.5275281921510929,C+T
D04,8,H69,0.5272437042698361,C+T
D04,9,G24,0.5270942121386006,C+T
D04,10,O34,0.5257937004538037,lassosum2
D05,1,D05,0.5683669271755047,LDpred2
D05,2,N63,0.5435045858944695,LDpred2
D05,3,L53,0.5214178388466599,C+T
D05,4,D32,0.5195328623207914,lassosum2
D05,5,D36,0.5189923811802063,LDpred2
D05,6,N50,0.5179973933482496,lassosum2
D05,7,D33,0.5179573997367555,lassosum2
D05,8,G20,0.5179023046437596,LDpred2
D05,9,D47,0.5174032897813247,lassosum2
D05,10,N60,0.5168658061767567,LDpred2
D24,1,D24,0.5430868728408341,LDpred2
D24,2,D05,0.5367340162533456,LDpred2
D24,3,N60,0.5327805768184001,LDpred2
D24,4,N63,0.5294029295680373,LDpred2
D24,5,F12,0.5259752323559029,LDpred2
D24,6,D75,0.5247315397719426,lassosum2
D24,7,N62,0.5211237909594686,lassosum2
D24,8,K80,0.5206996972868628,lassosum2
D24,9,D47,0.519150314765812,lassosum2
D24,10,D17,0.5190757396409555,C+T
D25,1,D25,0.5743929398339062,lassosum2
D25,2,D64,0.5192629199923782,lassosum2
D25,3,N80,0.5168323216088573,LDpred2
D25,4,D32,0.5144937909855061,LDpred2
D25,5,D17,0.514470901428564,lassosum2
D25,6,N84,0.5137829500212436,lassosum2
D25,7,G40,0.5135946862076696,C+T
D25,8,N45,0.5135172435855883,LDpred2
D25,9,N92,0.513215330306029,LDpred2
D25,10,N97,0.5130569073237726,lassosum2
D32,1,G81,0.5354413320109591,C+T
D32,2,G45,0.5349850440030491,LDpred2
D32,3,E22,0.534300760733651,LDpred2
D32,4,D25,0.5335614754036035,lassosum2
D32,5,H65,0.5323154174189934,LDpred2
D32,6,F05,0.5322358281243071,LDpred2
D32,7,L89,0.5322226404049171,lassosum2
D32,8,D32,0.531831392397354,LDpred2
D32,9,F43,0.530991204405702,C+T
D32,10,C44,0.5304435525670901,C+T
D51,1,K29,0.5410326038196975,LDpred2
D51,2,A08,0.5379712077572225,C+T
D51,3,A09,0.5317915206173252,lassosum2
D51,4,M51,0.530363681968121,LDpred2
D51,5,D51,0.5287542986482545,lassosum2
D51,6,E03,0.5285830878789348,lassosum2
D51,7,M79,0.528256160602962,C+T
D51,8,M77,0.5269359299292246,LDpred2
D51,9,M75,0.52592654887311,LDpred2
D51,10,M06,0.5258681151943478,LDpred2
E03,1,E03,0.6131212215622789,lassosum2
E03,2,E06,0.5437964678992058,lassosum2
E03,3,D51,0.536477037101592,LDpred2
E03,4,M06,0.5330893566117006,LDpred2
E03,5,M05,0.530724143813273,LDpred2
E03,6,K29,0.5256876738844181,lassosum2
E03,7,E66,0.5239703008224725,LDpred2
E03,8,K52,0.5238089696532198,lassosum2
E03,9,H05,0.5231006022303243,LDpred2
E03,10,M35,0.5215681671154978,LDpred2
E04,1,E04,0.5642929299060081,LDpred2
E04,2,E05,0.5472194104461245,LDpred2
E04,3,D25,0.5164210987865424,lassosum2
E04,4,E06,0.5141390342946578,LDpred2
E04,5,H43,0.5127561471142915,LDpred2
E04,6,N92,0.5127000632560587,LDpred2
E04,7,E11,0.5122336970915016,LDpred2
E04,8,B35,0.5120788551103956,LDpred2
E04,9,K21,0.5120224526402293,LDpred2
E04,10,I11,0.5119088495466164,LDpred2
E05,1,E05,0.5949212698455928,LDpred2
E05,2,E04,0.5565940043236749,lassosum2
E05,3,M05,0.533782441445632,LDpred2
E05,4,K29,0.5322623273095907,lassosum2
E05,5,D51,0.5321795407268708,LDpred2
E05,6,H05,0.5314147517165717,LDpred2
E05,7,M06,0.5308010655881337,LDpred2
