target_icd,rank,prs_icd,auc,method
C34,1,C34,0.5506177719642134,LDpred2
C34,2,J44,0.545481454142259,LDpred2
C34,3,J43,0.5386887321124243,LDpred2
C34,4,F17,0.5379151754034407,LDpred2
C34,5,J93,0.5339920400348047,LDpred2
C34,6,F10,0.5300942256854891,LDpred2
C34,7,N87,0.5282013770192693,LDpred2
C34,8,M79,0.5245793234066581,LDpred2
C34,9,I71,0.5244411021596178,LDpred2
C34,10,J15,0.5241925032997072,LDpred2
C44,1,C44,0.5957747631836362,LDpred2
C44,2,L57,0.5381281408923606,lassosum2
C44,3,D04,0.5287633249102397,lassosum2
C44,4,D23,0.5269782921319566,C+T
C44,5,N87,0.522457185924457,lassosum2
C44,6,D22,0.5159652986966958,LDpred2
C44,7,H47,0.5144801352863351,lassosum2
C44,8,L21,0.5123196652358787,lassosum2
C44,9,C91,0.5121147306043755,C+T
C44,10,R33,0.5117723864468444,lassosum2
D03,1,D22,0.5584202731116974,lassosum2
D03,2,D03,0.5566138746220919,LDpred2
D03,3,D23,0.5412441811444575,C+T
D03,4,C44,0.5406622042932373,LDpred2
D03,5,G24,0.5372715353044233,C+T
D03,6,D04,0.5313370902438579,lassosum2
D03,7,C91,0.5304106256163575,lassosum2
D03,8,L57,0.5297790536480663,LDpred2
D03,9,N41,0.5252443228892179,C+T
D03,10,D75,0.5250063360398785,C+T
D04,1,C44,0.553114622200879,LDpred2
D04,2,L57,0.5516480119785219,lassosum2
D04,3,D23,0.5388032833838863,C+T
D04,4,L60,0.5341037072859028,C+T
D04,5,D04,0.5315321207994868,C+T
D04,6,O34,0.5295637224048053,lassosum2
D04,7,J02,0.5283350686087732,LDpred2
D04,8,M47,0.5281612209672909,LDpred2
D04,9,N92,0.5277002248738969,C+T
D04,10,L08,0.5270246014021316,lassosum2
D05,1,D05,0.5612201469666739,LDpred2
D05,2,N63,0.5362605418096699,LDpred2
D05,3,N60,0.5312950224260066,LDpred2
D05,4,D24,0.5292014317404412,LDpred2
D05,5,G20,0.5160884235411453,lassosum2
D05,6,D32,0.5150235590441692,lassosum2
D05,7,D36,0.5148979112914561,lassosum2
D05,8,D33,0.5144525186409638,lassosum2
D05,9,M72,0.5137795466543309,lassosum2
D05,10,N62,0.5132955644953862,lassosum2
D24,1,D24,0.5511990960304772,C+T
D24,2,N60,0.5487624005030584,LDpred2
D24,3,D05,0.5402874380413807,LDpred2
D24,4,N63,0.530092457352354,LDpred2
D24,5,D25,0.5224208945441466,lassosum2
D24,6,N62,0.52148921120948,lassosum2
D24,7,D32,0.5211948768970434,lassosum2
D24,8,L21,0.5201000450955213,LDpred2
D24,9,A60,0.5187610229380816,C+T
D24,10,O35,0.5180587195919321,lassosum2
D25,1,D25,0.5733261981344377,lassosum2
D25,2,N92,0.5252308459659635,LDpred2
D25,3,D17,0.525129986367244,C+T
D25,4,N80,0.5191388539114967,LDpred2
D25,5,D32,0.5190656629026857,lassosum2
D25,6,N83,0.5184140488933203,LDpred2
D25,7,N84,0.5160849748195696,LDpred2
D25,8,N97,0.51400038895302,LDpred2
D25,9,N91,0.5131238388930529,LDpred2
D25,10,N85,0.5124227093755483,LDpred2
D32,1,D32,0.5853353704031947,LDpred2
D32,2,D25,0.5419188383122998,lassosum2
D32,3,D17,0.5407263722364251,lassosum2
D32,4,K63,0.531436469267202,LDpred2
D32,5,E66,0.5293993201077021,LDpred2
D32,6,L85,0.5281717819756953,C+T
D32,7,H16,0.5276822209862021,LDpred2
D32,8,R33,0.5258563974461143,LDpred2
D32,9,K55,0.5249101260394226,lassosum2
D32,10,G44,0.5240496088905215,lassosum2
D51,1,D51,0.567744813669427,LDpred2
D51,2,E03,0.5481014465543194,LDpred2
D51,3,M79,0.5468082985440484,LDpred2
D51,4,I71,0.5361620291884986,LDpred2
D51,5,M75,0.5358836786548284,LDpred2
D51,6,M51,0.5355958903136937,LDpred2
D51,7,M47,0.533110653603332,LDpred2
D51,8,N10,0.5329782196334276,LDpred2
D51,9,K29,0.532728926105454,LDpred2
D51,10,M05,0.5327037647977119,C+T
E03,1,E03,0.6212880635319505,lassosum2
E03,2,E06,0.5355870423611235,C+T
E03,3,M05,0.5335220646028351,LDpred2
E03,4,D51,0.5302205746470553,LDpred2
E03,5,K52,0.530113409694625,lassosum2
E03,6,L43,0.529503080136882,LDpred2
E03,7,M06,0.529476872371637,LDpred2
E03,8,E66,0.5226093350085502,LDpred2
E03,9,M35,0.5225119624065354,LDpred2
E03,10,K29,0.5214557193287198,LDpred2
