icd,auc
A04,0.5509502397878592
A08,0.5538190788543835
A09,0.5419640442299258
A41,0.5771704624732972
A49,0.5495228971436721
A60,0.54094641929830245
A63,0.5521208612991846
A69,0.5871280602052414
B00,0.5275734233386604
B01,0.528762205133584
B02,0.5279146863499596
B07,0.5258990625932544
B27,0.58051585316900145
B34,0.5304156005758353
B35,0.5138376029125858
B37,0.5469845337478029
B86,0.5677353162287219
B99,0.561812959840147
C34,0.5512339512034838
C44,0.6179729419599863
C83,0.5787497262238281
C85,0.5815220633819839
C90,0.5914944993631831
C91,0.5885728221935758
D03,0.6122096095474779
D04,0.5897314448470306
D05,0.5688308427786898
D09,0.5594056882003818
D12,0.541356082511155
D13,0.5391730567486285
D16,0.5735068170831572
D17,0.541018328883924
D18,0.5282376748448335
D21,0.544330349728983
D22,0.52864916678147
D23,0.5356170928569927
D24,0.5430689062035388
D25,0.5738311431214084
D27,0.5918583006301474
D31,0.5466275916065512
D32,0.5081111514460248
D33,0.5614472579447346
D35,0.5432490609395857
D36,0.5332949599000973
D47,0.5462163176153704
D50,0.5403865981604463
D51,0.5633740037322508
D58,0.5605133607780609
D62,0.5498872523267179
D64,0.5318164808553588
D68,0.5967075903792094
D69,0.5215618801659335
D70,0.5278081240273629
D72,0.5413007465865136
D75,0.526462836930151
D86,0.5871847613870902
E03,0.6131455680903444
E04,0.5673778036079522
E05,0.6020595360107731
E06,0.6206349564362583
E10,0.5977399902954222
E11,0.6417227524860017
E16,0.5611148447384555
E21,0.5634655919374442
E22,0.5420352748900696
E23,0.5468091090867646
E27,0.5527507055207518
E28,0.5376904256511046
E29,0.5460630066514571
E34,0.5328006314508029
E66,0.6102934007556654
E73,0.5744669747117355
E78,0.5862963664250604
E83,0.5465006552592526
E86,0.5651590694769257
E87,0.565897648767151
F02,0.5793787530895961
F03,0.6379447233666559
F05,0.5957034465567888
F06,0.5435864630197904
F10,0.5862372982846215
F11,0.6205036627878171
F12,0.5981856107212193
F13,0.6476149135147576
F15,0.6264783973348023
F17,0.6087666943452749
F19,0.6074275036800617
F20,0.6064067065150635
F22,0.6143874012145927
F25,0.6059642478007781
F29,0.5895872744966473
F31,0.6014119480357537
F32,0.5622147336676184
F33,0.5560677641160893
F34,0.5430530510831623
F39,0.5628861388286207
F40,0.5494396153452491
F41,0.5592021130372244
F42,0.5514374220495258
F43,0.5453058753195994
F44,0.5623421912979627
F45,0.5487966590506849
F48,0.5574577864106645
F50,0.5741463760231064
F51,0.5347263747251325
F60,0.5679175594282613
F90,0.5539341272328515
F99,0.5983972532100141
G20,0.5708581571177404
G24,0.5501473694717666
G25,0.5720920791975851
G30,0.7378182978628606
G35,0.5939191223990471
G40,0.5622338672830406
G43,0.5676874078238521
G44,0.5475781337187351
G45,0.5644072800035803
G47,0.5523523971620321
G50,0.5495347424107592
G51,0.5525512323797264
G54,0.546355214757187
G56,0.5712847497431135
G57,0.5449707854893742
G58,0.5519952783403634
G61,0.5623560603859724
G72,0.5699517807958331
G81,0.5959639815273285
G93,0.5424280528276024
G95,0.5720147730879395
G97,0.5884998827308586
H00,0.5267770375207242
H01,0.5214411524039283
H02,0.5217703506532223
H04,0.5283391437016304
H05,0.5595995890542559
H10,0.5326166076539329
H11,0.5347055836057171
H16,0.5237346834519752
H18,0.5271055149101447
H20,0.5749722684680383
H25,0.5133128669171768
H26,0.52329364402472
H33,0.5540050246362264
H34,0.538141804827245
H35,0.533898885859642
H40,0.5735450815251847
H43,0.5256131758688953
H46,0.5690446605042772
H47,0.5188603489355458
H49,0.5401799346278077
H50,0.53248141325416
H52,0.5101647189599617
H53,0.5221308472732413
H54,0.5271481328559819
H57,0.527906450607761
H60,0.5365231194743897
H61,0.5189109228790862
H65,0.5373721359662582
H66,0.5406404911296883
H69,0.5262311733546107
H72,0.5603563118793186
H81,0.52091603885322
H83,0.5517148758460383
H90,0.5347977483693728
H91,0.5353759891470595
H92,0.5287569057723182
H93,0.5267021337880231
I10,0.6133711411146375
I11,0.5943861140954011
I12,0.5738826218882462
I15,0.5893706572016666
I20,0.5728440602361782
I21,0.5915015111099078
I25,0.5883393266924921
I26,0.6105288517770717
I27,0.5661971750976635
I31,0.5357744827562554
I38,0.5472877335938451
I42,0.5584879963107569
I44,0.5377107781813012
I45,0.52705768044463
I46,0.5826099664543894
I47,0.54264054356413
I48,0.6041354934915314
I49,0.5296666838597057
I50,0.5918122461485941
I51,0.5405620002843066
I60,0.5788467983630193
I61,0.5982664552829293
I62,0.5624904624108871
I63,0.5599720907582996
I67,0.5418392945936766
I69,0.5629147667770915
I70,0.5601259980138882
I71,0.5570990338704963
I72,0.5823439577272412
I73,0.5361128378432827
I74,0.5543662205395389
I80,0.5776855197326679
I82,0.6002381669346674
I83,0.6070866013511345
I85,0.5932225988312427
I86,0.5505442269226424
I87,0.572641101854639
I88,0.5959142662453532
I89,0.5607399543892432
I95,0.5529562711128012
J00,0.5449960303485069
J01,0.5275316804757508
J02,0.5153086269608038
J03,0.55191348506714355
J04,0.5417144739743869
J06,0.5227312952645639
J12,0.5648514155117489
J15,0.5528404589754305
J20,0.5473640228774448
J21,0.5956762944916832
J22,0.5347111689165256
J30,0.538058715216301
J31,0.5302280074768911
J32,0.5393915835893688
J33,0.590610641370948
J34,0.5281113731213573
J35,0.569934041196378
J37,0.5926392888490882
J38,0.5167408445349146
J40,0.5383133382342374
J41,0.5824986498355698
J42,0.5921588770261343
J43,0.5885409236889656
