icd,auc
A04,0.5591008451584385
A08,0.5592359078867357
A09,0.5866272193432224
A41,0.5809765544789536
A49,0.5700798449764872
A60,0.5871237265283503
A63,0.5956980911426916
A69,0.5814076000496273
B00,0.5477691920683584
B01,0.6031555382424973
B02,0.5186900820464814
B07,0.5241360492740659
B27,0.6729965763148169
B34,0.5434321175722544
B35,0.49947503181243086
B37,0.5338002243096938
B86,0.6282959939505273
B99,0.5780437484214535
C34,0.6054093273855115
C44,0.6054863619237936
C83,0.6792830504918234
C85,0.6109858824323825
C90,0.6534302002041651
C91,0.6346519850948069
D03,0.6555206673864489
D04,0.5978671751999364
D05,0.583664395945532
D09,0.5422129558584712
D12,0.535347659474954
D13,0.5991044488026683
D16,0.631917467543994
D17,0.5558507279299163
D18,0.4995404708576287
D21,0.5882822021354662
D22,0.5206234431821832
D23,0.5270357186227344
D24,0.5893135257191009
D25,0.5719806197942515
D27,0.6587648095697755
D31,0.5709262518757067
D32,0.6507577501383601
D33,0.6323084297870601
D35,0.5746534349442973
D36,0.5598806458413168
D47,0.5429043542458303
D50,0.5384218134493014
D51,0.5845149281758706
D58,0.6157678179204709
D62,0.5373664324226737
D64,0.5218619617390358
D68,0.5991869981368002
D69,0.5110964701154144
D70,0.559550263073524
D72,0.5372202099713409
D75,0.5367378992209766
D86,0.6474766319726836
E03,0.6138165410764328
E04,0.5529535425583062
E05,0.5944471304839025
E06,0.6285515688318558
E10,0.6118431622602445
E11,0.62929855317245
E16,0.5714347449697958
E21,0.5816581947648765
E22,0.6020329551754666
E23,0.5571843561168235
E27,0.5519961133860204
E28,0.5353762726045306
E29,0.5278042570625064
E34,0.560984888493585
E66,0.5982580428009922
E73,0.615707192110705
E78,0.5637740595506213
E83,0.5509040106481488
E86,0.5623550192955445
E87,0.5454437367584068
F02,0.5846184222557327
F03,0.6112837918420337
F05,0.6362367523360101
F06,0.5769061175873907
F10,0.5933550343194856
F11,0.6319604987991926
F12,0.5994330850298475
F13,0.6494793076774567
F15,0.6353051571072161
F17,0.6185572960741886
F19,0.6163504192023315
F20,0.6450671167797758
F22,0.6388260201025198
F25,0.6410759728295761
F29,0.6227036198860764
F31,0.6138366252079329
F32,0.551010195847558
F33,0.540743157139354
F34,0.5360280503815873
F39,0.5473518348235972
F40,0.5603567226976859
F41,0.5611128602851855
F42,0.5758316802018936
F43,0.5459072407648455
F44,0.6299224054103095
F45,0.5520008921796623
F48,0.6479162262932953
F50,0.6038984048036494
F51,0.5219413640918675
F60,0.6021630916290995
F90,0.5468019492573473
F99,0.6219361284080357
G20,0.6016681273200598
G24,0.5724183376114755
G25,0.5527045103934323
G30,0.6560049195682253
G35,0.607566444114196
G40,0.5637369495866036
G43,0.5664816560317446
G44,0.5383048405239835
G45,0.5206533473773932
G47,0.5417397652712611
G50,0.566137978144865
G51,0.5900031051120038
