icd,auc
A04,0.5356593288680342
A08,0.5413683162793272
A09,0.5077782524623686
A41,0.5279176108478244
A49,0.5229689800718864
B00,0.4989069087867305
B02,0.5082517528753484
B07,0.5176924587939985
B34,0.538247933553163
B35,0.5155986790558937
B37,0.5295816789342342
B99,0.5153897750772692
C34,0.552860928042396
C44,0.593359540598089
C83,0.5200431319176174
C85,0.538699949038621
C90,0.5308231576378581
C91,0.619458768283812
D03,0.5601169474999298
D04,0.5555435400493492
D05,0.5605411867542944
D09,0.5175015011103687
D12,0.5710808816619966
D13,0.51782572014345
D16,0.5092024543915129
D17,0.5398560910778132
D18,0.5113108393501415
D21,0.5177059195434085
D22,0.5566781279295714
D23,0.5260410257809687
D24,0.5575489102084948
D25,0.5701811808065058
D27,0.5197512200056985
D32,0.5877958697655454
D33,0.5294609922225674
D35,0.510104478756651
D36,0.5122551755746717
D47,0.5119012378628506
D50,0.5308963745581371
D51,0.5660966352713178
D64,0.5211882766661394
D68,0.5301742386053763
D69,0.5196146505545168
D70,0.4979644706129137
D72,0.5226995277313734
D75,0.5390864370618582
D86,0.5816639110106361
E03,0.6233377504385751
E04,0.6312917640012984
E05,0.5767970554824323
E06,0.5734448938486333
E10,0.6041748961711884
E11,0.6431185832849622
E16,0.5777973823063186
E21,0.5717856550405215
E22,0.5212734786009636
E23,0.5000780208532173
E27,0.5151708990093905
E28,0.546370762544198
E66,0.5935186471600271
E78,0.5832457109023269
E83,0.5222457097001854
E86,0.5362377257682499
E87,0.5361943042891639
F02,0.49766232887572925
F03,0.5783321672343773
F05,0.5311461837633469
F06,0.5287207441077539
F10,0.5634625619843088
F17,0.5620941867806256
F20,0.5448729318827952
F22,0.5332949113055659
F31,0.548608219892541
F32,0.5598421004265087
F33,0.5606136450529634
F40,0.5394876852877926
F41,0.5530528948590966
F43,0.5814672159696616
F45,0.5435218929873523
F60,0.5880373763181455
G20,0.4974297452463011
G24,0.5040019757604681
G25,0.5623963740501667
G30,0.6177772102044765
G35,0.5650537773571916
G40,0.5353617850167036
G43,0.5737496834601324
G44,0.5586069171317963
G45,0.5353521804057897
G47,0.5705144929354808
G50,0.5347198795886856
G51,0.5220249696910729
G54,0.5540661947640786
G56,0.5896027181108731
G57,0.544740624148467
G58,0.5585720263738427
G61,0.4984446146526403
G81,0.5339952234473483
G93,0.5283624563908749
G95,0.5375734888959096
H00,0.5284921318066313
H01,0.5129951125796444
H02,0.5091715119468857
H04,0.5065545852812148
H05,0.5108121900017327
H10,0.5130982594525338
H11,0.5052278603172854
H16,0.5144101187571157
H18,0.5410958569247868
H20,0.4957212100819001
H25,0.5072357620452941
H26,0.545265918866554
H33,0.5518727038177802
H34,0.5208631620728471
H35,0.5427948271374399
H40,0.6076636458175246
H43,0.5251997261490838
H47,0.5288856946097273
H49,0.5025467539812286
H50,0.4985965821603498
H52,0.4992229801345573
H53,0.5289586187161028
H54,0.529227082575176
H57,0.5192602692611278
H60,0.5438888138547701
H61,0.5134025202463945
H65,0.527125077757456
H66,0.5358970441684168
H72,0.5749674667915554
H81,0.5300290843507107
H83,0.5236515231377561
H90,0.5146145932726579
H91,0.5346366697515803
H92,0.5314924666992908
H93,0.5192734906793112
I10,0.6063092056539657
I12,0.5596836121696056
I20,0.6009264345155807
I21,0.6097323618541606
I25,0.6012012889210728
I26,0.6098932677174329
I27,0.5552452763829244
I31,0.5210492035688289
I38,0.5199223497430353
I42,0.5560286601958723
I44,0.5345262534005271
I45,0.5366597740194978
I46,0.551448734295265
I47,0.5527193006759256
I48,0.6106040981553658
I49,0.555507373455644
I50,0.5783987719382199
I51,0.564324826359714
I60,0.5123616833834005
I61,0.5028880897229718
I62,0.496404763897847
I63,0.5600587593773523
I67,0.5441396087525255
I69,0.5597484250438418
I70,0.5901855158306594
I71,0.5590897020879717
I72,0.5581034829433673
I73,0.5580858968667297
I74,0.5473600250875003
I80,0.5997543761104984
I82,0.5433305921590206
I83,0.6332754829914559
I85,0.5844349144212921
I86,0.5421477815937519
I87,0.5604840808669942
I89,0.5364109156974426
I95,0.5293758348357379
J00,0.5207759036357945
J02,0.537225820605806
J03,0.5239821214029993
J06,0.5351763050966976
J12,0.5392364050871375
J15,0.5305868046614279
J22,0.5259239317673493
J30,0.5531996013572015
J31,0.5243480899108429
J32,0.5437789048347804
J33,0.6372064454448462
J34,0.5416587944364505
J35,0.5441039309387823
J38,0.5223367007092787
J40,0.5553859105368922
J42,0.5620961439579977
J43,0.5867662760981777
J44,0.58116181290595
J45,0.5736319507397072
J47,0.5163169978572995
J69,0.5245329589500553
J84,0.561788012789218
J91,0.5092232866161218
J93,0.5238390884006577
J94,0.5298008750770814
K06,0.5079485469342583
K08,0.513162275756754
K11,0.5132176169921147
K12,0.5185168314700763
K13,0.5092582504698683
K14,0.5188944385351181
K20,0.54197726114816
K21,0.5434769007374975
K22,0.5425388748444844
K25,0.5334520523542334
K26,0.5301535120134007
K29,0.5386506842607014
K30,0.5224751297945321
K31,0.5332438117609749
K35,0.5571762104917475
K40,0.5964147989890128
K42,0.5947931666611921
K43,0.5712016319806571
K44,0.5544899090557569
K46,0.5419427679432698
K50,0.6049035715626235
K51,0.5978137174052665
K52,0.5298074194174472
K55,0.5254330329052639
K56,0.5185383581547446
K57,0.5831977572575738
K58,0.548539351531552
K59,0.5334640519545851
K60,0.5514296412686931
K61,0.5292438374646662
K62,0.5339308045434829
K63,0.5530785715963326
K64,0.5337235293064364
K65,0.5203575030491433
K66,0.5237253093010228
K70,0.612398407045269
K72,0.5493545817546717
K74,0.5914199922589889
K75,0.5707045370305844
K76,0.5633062198554141
K80,0.5754269809200574
K81,0.5594391955963507
K82,0.5254390597472194
K83,0.5472982874263245
K85,0.541207676002815
K86,0.5338443478052938
K90,0.5364822807521014
K91,0.5200831511424289
K92,0.5259197719525155
L02,0.5340593300936912
L03,0.5397449074131032
L05,0.5615620880495958
L08,0.531215471326446
L24,0.4994574832125544
L27,0.4984985721024026
L29,0.5328747809572411
L30,0.5730820179195775
L40,0.6069095060764127
L43,0.5687041123033907
L50,0.5374104256958306
L53,0.5111839421804846
L57,0.5523124006279815
L60,0.5269223878836902
L71,0.5372404713748284
L72,0.5387052534681107
L73,0.5436442372383742
L81,0.5334946985294111
L82,0.546026480307696
L84,0.5056017401558998
L85,0.5220437355593768
L89,0.5349676395644634
L90,0.5261359826928614
L91,0.5263691545716779
L97,0.5725068076933777
L98,0.5222498316664593
M00,0.5314451663320392
M05,0.5874663762385712
M06,0.5568853657549856
M10,0.6348746668856199
M13,0.5453537572436705
M15,0.576391617016783
M16,0.5876055249363799
M17,0.5833104851178017
M19,0.5599766530642896
M23,0.5557964630500645
M31,0.5481977807254993
M32,0.5832629908535617
M35,0.5491714534948513
M40,0.5285644349135165
M41,0.5563765956544415
M45,0.5354723513817202
M47,0.5683129688865847
M50,0.5721897934966997
M51,0.5774909228867056
M66,0.514082449371173
M70,0.554107521934707
M71,0.5352993755923753
M72,0.6731087653862567
M75,0.562337753893469
M76,0.5518533707269173
M77,0.560205739376729
M79,0.5502775881235143
M81,0.5665959951772345
M84,0.534934450240822
M86,0.5571269545301686
M87,0.5372895493364132
M94,0.5462343687929351
M96,0.5672503179763309
N12,0.5452751893989622
N13,0.5361837665612821
N18,0.55731565836891
N19,0.5276540275830223
N20,0.6006051713035068
N21,0.5592824225605347
N30,0.5280127050994493
N31,0.5317721793205802
N32,0.5226909263729237
N35,0.5035145609451601
N40,0.5858249337220777
N41,0.5728503486829991
N42,0.5956245810493789
N43,0.53621095668584
N45,0.5290298293899378
N48,0.5195838074930957
N50,0.5205547923747633
N60,0.5338966729243999
N61,0.5131806048181237
N62,0.5828548870933279
N63,0.5307834666831568
N64,0.5611175089216581
N72,0.4926382403178663
N73,0.5261321486677383
N76,0.5132568761979279
N80,0.5654371154134097
N81,0.5812047617950521
N83,0.5265724677788498
N84,0.5116887580990477
N85,0.5025188984199168
N87,0.5126916647481209
N88,0.5018873036077848
N89,0.5186783498127688
N90,0.5064136568115016
N92,0.5258680643294791
N93,0.5151404725194674
N94,0.5299490444886918
N97,0.5165286459734554
N99,0.5332042413683409
O02,0.520722313153592
O03,0.5418454791386977
O13,0.5733781622284798
O20,0.47217844694638417
O26,0.43146115987261174
O34,0.5204522805959294
O36,0.5271059740163327
O48,0.5187873233685809
O99,0.5288276896725396
Q21,0.5295006488724757
Q61,0.5047391489258601
R33,0.5176986007343184
R41,0.521992038448503
S02,0.5118100585047353
