icd,auc
A04,0.5207504614114221
A08,0.527403172775366
A09,0.5018566246293731
A41,0.5457686107840393
A49,0.5148288295976416
B00,0.4952762367035108
B02,0.5033863890543853
B07,0.5110620513366418
B34,0.5315406922081221
B35,0.4920740216951078
B37,0.5295884701447877
B99,0.5207468929439386
C34,0.552623921099184
C44,0.5930215822186767
C83,0.5023064023539487
C85,0.5321299001317349
C90,0.5382580743927984
C91,0.6123158601022308
D03,0.5588939420988948
D04,0.5618855732180865
D05,0.5528684694978047
D09,0.5194590333351101
D12,0.5720617502391009
D13,0.5153727516631725
D16,0.5118276748026961
D17,0.5461929708624554
D18,0.5097436627123042
D21,0.5259110260154101
D22,0.5375329787253669
D23,0.5032201147028338
D24,0.5547449006473892
D25,0.5765561351178063
D27,0.5226841041404361
D32,0.5738879859120884
D33,0.5428907425069567
D35,0.4954655916476012
D36,0.5050415660193515
D47,0.5225578173421627
D50,0.5292976496351439
D51,0.5567315171544357
D64,0.5176457524419804
D68,0.5452500826117396
D69,0.5157400838928644
D70,0.5060906463691114
D72,0.515299678061153
D75,0.5242283374487448
D86,0.574487038019675
E03,0.6292381326168844
E04,0.6204737150059454
E05,0.5795552098765878
E06,0.5685085894693447
E10,0.6183170680414509
E11,0.6314823919685613
E16,0.5608846944396533
E21,0.5768665360247982
E22,0.5251735448853685
E23,0.5062420608655691
E27,0.5151751228833668
E28,0.5545670349760614
E66,0.5934999057629419
E78,0.5823310166558053
E83,0.5244273970936046
E86,0.522455049085934
E87,0.5355590139149078
F02,0.5307626036152285
F03,0.6095845478676754
F05,0.5196799715686902
F06,0.5062645774670971
F10,0.5532073066430412
F17,0.5691326741454616
F20,0.5280450798501714
F22,0.5241650674296896
F31,0.5405368824025553
F32,0.5562673567325702
F33,0.5523704794776687
F40,0.5479774965900948
F41,0.5416092945802063
F43,0.5784760408838365
F45,0.5418471622166163
F60,0.571413557094367
G20,0.5085278210155814
G24,0.5043983595519831
G25,0.5474658896897407
G30,0.6393272342334352
G35,0.569037521768864
G40,0.5361991807452129
G43,0.5659534588475108
G44,0.5539936060463821
G45,0.5386938978653045
G47,0.578729840640966
G50,0.5315870058097912
G51,0.49722954057497165
G54,0.5316332665008453
G56,0.5860326802095764
G57,0.5284898945047329
G58,0.5273002067030497
G61,0.5160172570727408
G81,0.5399957766911665
G93,0.5136237843268209
G95,0.5330435640489686
H00,0.5410357986154445
H01,0.5050890952631417
H02,0.5092415095716513
H04,0.5281082006468932
H05,0.5048190621491222
H10,0.4982945186234878
H11,0.5135405017303271
H16,0.5212340877990903
H18,0.5383128722976064
H20,0.4885327877463052
H25,0.5057482247059178
H26,0.5397169763533325
H33,0.5587732501609574
H34,0.5002254746495612
H35,0.5559936668203161
H40,0.6049669705943975
H43,0.5193118580341001
H47,0.5224887206745691
H49,0.5019625559271453
H50,0.48435556587616546
H52,0.5021962771711915
H53,0.4941256307307186
H54,0.5285555294584785
H57,0.5244813558311733
H60,0.554929498242139
H61,0.5077065940554608
H65,0.5206587290489926
H66,0.5227562094244365
H72,0.5678857129339371
H81,0.5283086128460052
H83,0.5300200664956435
H90,0.5043448188945886
H91,0.5238718156235495
H92,0.5302731320809914
H93,0.5152855540344491
I10,0.6054700335428986
I12,0.5515422735255624
I20,0.6033903121546772
I21,0.606462783330339
I25,0.5880783939589256
I26,0.6125883038895423
I27,0.5537790369559334
I31,0.507185088068564
I38,0.535426586586941
I42,0.5605916439767347
I44,0.5489893391035716
I45,0.5339207906673729
I46,0.5269982471417944
I47,0.5487259418955329
I48,0.6096388074535227
I49,0.5520371487087486
I50,0.5836886686197985
I51,0.5489849163968803
I60,0.5134968151564214
I61,0.5129580807366608
I62,0.49708247244757603
I63,0.560044568242235
I67,0.5643474259320279
I69,0.5543352939035845
I70,0.5870291724381427
I71,0.5595485768895876
