icd,case_num,autogluon,tabpfn,glm,superlearner,unsemble,single,description
A04,2457,0.5505137874039193,0.5306882921224766,0.5509502397878592,0.5509502397878592,0.4893752234589835,0.5365704741359589,Other bacterial intestinal infections
A08,1867,0.5568591832417544,0.5531716870890568,0.5538190788543835,0.5538190788543835,0.4892051349323304,0.5364345761460237,Viral and other specified intestinal infections
A09,2001,0.5151116333772331,0.5213973604365026,0.5419640442299258,0.5438579156187713,0.4864197346230382,0.5228796370001816,"Infectious gastroenteritis and colitis, unspecified"
A41,7509,0.574963454396052,0.5762861413714785,0.5771704624732972,0.5770069057871581,0.5131004502163611,0.5536675703198108,Other sepsis
A49,2628,0.5409893626304779,0.560653103212652,0.5495228971436721,0.5499994186530429,0.4948233869651361,0.5386678668358185,Bacterial infection of unspecified site
B00,5370,0.5154195309975605,0.5159710320720244,0.5275734233386604,0.5292484627746626,0.50115592729732,0.5150218332338194,Herpesviral [herpes simplex] infections
B02,5627,0.5233785829405236,0.5204742019939357,0.5279146863499596,0.5279146863499596,0.4967175976635979,0.5175336425217089,Zoster [herpes zoster]
B07,7732,0.5256365748715761,0.5140076847210651,0.5258990625932544,0.525976256861032,0.4887452558022422,0.5183661903588008,Viral warts
B34,7586,0.5223736993995237,0.5233090543091422,0.5304156005758353,0.531295892065625,0.4975835550315386,0.5176606141034957,Viral infection of unspecified site
B35,15118,0.5122171339207043,0.5183501235386179,0.5138376029125858,0.5132174321384834,0.5005806292826448,0.5158549581238274,Dermatophytosis
B37,9886,0.5439214502893908,0.5341975665259979,0.5469845337478029,0.546958452013233,0.5019241991833576,0.5331792204705269,Candidiasis
B99,1549,0.5499373737576726,0.5498867857825512,0.561812959840147,0.5605759198374675,0.5158722200244974,0.5412913171855255,Other and unspecified infectious diseases
C34,1742,0.552415526503587,0.5536317314405624,0.5512339512034838,0.5533312346811093,0.5275715483106259,0.553412037647724,Malignant neoplasm of bronchus and lung
