icd,case_num,autogluon,tabpfn,glm,superlearner,unsemble,single,description
C34,1742,0.552415526503587,0.5536317314405624,0.5512339512034838,0.5533312346811093,0.5275715483106259,0.553412037647724,Malignant neoplasm of bronchus and lung
C44,10887,0.6156697984546637,0.6064542411228018,0.6179729419599863,0.6174766946268102,0.4961083045544693,0.6163590415094744,Other and unspecified malignant neoplasm of skin
D03,1156,0.5942739894001684,0.6103083721558683,0.6122096095474779,0.6133267127209244,0.4405922628354724,0.5862371146724782,Melanoma in situ
D04,2560,0.6002682147862187,0.6000271538058516,0.5897314448470306,0.5949706538829239,0.5499859679886497,0.5911677316507273,Carcinoma in situ of skin
D05,2117,0.5411750571465597,0.5600711217755421,0.5688308427786898,0.5716816646948331,0.548354507461564,0.5683669271755047,Carcinoma in situ of breast
D24,1553,0.5353789676308943,0.5449506921363837,0.5430689062035388,0.555925286692089,0.5194326393294882,0.5430868728408341,Benign neoplasm of breast
D25,4759,0.5673485796745671,0.5685902778517917,0.5738311431214084,0.5736899274043131,0.4999394338340981,0.5743929398339062,Leiomyoma of uterus
D32,1036,0.5568092647178393,0.5598014143779665,0.5081111514460248,0.526278568693303,0.4952048162450828,0.5354413320109591,Benign neoplasm of meninges
D51,1961,0.5468626344932352,0.5609197291356198,0.5633740037322508,0.5633740037322508,0.4871890127956709,0.5410326038196975,Vitamin B12 deficiency anemia
E03,25595,0.6180847467917829,0.6141482752070271,0.6131455680903444,0.613060551668579,0.5830283925626921,0.6131212215622789,Other hypothyroidism
E04,10642,0.5629614437360384,0.557843967066144,0.5673778036079522,0.5665368212424278,0.5525738757264398,0.5642929299060081,Other nontoxic goiter
E05,3107,0.5823642096776931,0.5848819007980574,0.6020595360107731,0.6023310623089502,0.5436369169267214,0.5949212698455928,Thyrotoxicosis [hyperthyroidism]
E06,4034,0.6201715576257195,0.6182698109132968,0.6206349564362583,0.6218275876590348,0.5673384943841261,0.6283636423782082,Thyroiditis
E10,2697,0.6067892326138982,0.6112027455825861,0.5977399902954222,0.5978474421983669,0.5083670631487338,0.5640003924189076,Type 1 diabetes mellitus
E11,25805,0.644999093493806,0.6310783524793012,0.6417227524860017,0.6417227524860017,0.589980442659319,0.6354404830521694,Type 2 diabetes mellitus
E16,3108,0.5624533412286445,0.5678694722686555,0.5611148447384555,0.5611148447384555,0.5158939233850762,0.5463485084093431,Other disorders of pancreatic internal secretion
E21,3217,0.5562714917180874,0.5772467287409371,0.5634655919374442,0.5680488550747984,0.5236526329697982,0.5456740798933147,Hyperparathyroidism and other disorders of parathyroid gland
E66,39483,0.6106329451479773,0.5997395104882235,0.6102934007556654,0.6102630467100142,0.52753874942341,0.6026742979097817,Overweight and obesity
E78,73780,0.5858748076023103,0.5902817673525106,0.5862963664250604,0.5862718030279471,0.4797741306256409,0.5819077111051673,Disorders of lipoprotein metabolism and other lipidemias
F03,1445,0.6123611069660883,0.6060736435087248,0.6379447233666559,0.637319267924786,0.5388233718926779,0.6102709141096934,Unspecified dementia
F10,8172,0.5829995003131643,0.5909003853248858,0.5862372982846215,0.5860315643602264,0.4780197123616616,0.5771338977954521,Alcohol related disorders
F17,17809,0.61028061558853,0.6206133253160341,0.6087666943452749,0.60864960940091,0.4603993132796601,0.5731189165581316,Nicotine dependence
F31,6594,0.6078872938079258,0.6087480058300897,0.6014119480357537,0.6012716112283674,0.5771914640029076,0.5912752893118405,Bipolar disorder
F32,38883,0.5617659037424466,0.5533012128965032,0.5622147336676184,0.5621196299680257,0.5389443190811675,0.5489649107158715,Depressive episode
F33,17711,0.5519519754048555,0.538222158415618,0.5560677641160893,0.5559688760779117,0.5485335628187504,0.547989880513956,"Major depressive disorder, recurrent"
F41,47216,0.5581654834938178,0.5527561088585321,0.5592021130372244,0.5593845268118667,0.5396274932228494,0.5485829969163687,Other anxiety disorders
F60,2191,0.5920607427748894,0.5911536543025299,0.5679175594282613,0.5697406456491726,0.5514459908217401,0.5747004549601998,Specific personality disorders
G25,10553,0.5658297157120785,0.5545351576897866,0.5720920791975851,0.5713609946820817,0.512520541705186,0.5567942648591047,Other extrapyramidal and movement disorders
G35,1764,0.5899458050290505,0.5933490743996304,0.5939191223990471,0.5939191223990471,0.5747679262778054,0.5916682081742706,Multiple sclerosis
G43,20214,0.5685188620306005,0.5673660461751909,0.5676874078238521,0.5676591142237197,0.506098240769731,0.5650502221710816,Migraine
G47,47420,0.5501732489881084,0.5522704879829105,0.5523523971620321,0.5524100111527196,0.5138691827520235,0.5420609763402771,Sleep disorders
G56,11902,0.5632968069070886,0.575155163426723,0.5712847497431135,0.5712134103686037,0.5191101982844086,0.561053646420573,Mononeuropathies of upper limb
G58,1229,0.5350798197181919,0.5439680671634443,0.5519952783403634,0.5485623957929963,0.4873783928236662,0.5352412676322196,Other mononeuropathies
H33,2461,0.5509923291378904,0.553593740041622,0.5540050246362264,0.5533396639986995,0.5292766525665856,0.5539155908680323,Retinal detachments and breaks
H40,10650,0.572508223149735,0.5763106261853497,0.5735450815251847,0.5740571299167415,0.5532136161801808,0.5778039599405932,Glaucoma
I10,67148,0.6153128452544288,0.6144968330434799,0.6133711411146375,0.613352015720626,0.5613531857463807,0.6074588198893428,Essential (primary) hypertension
I12,8001,0.5772308245989655,0.5792170685891325,0.5738826218882462,0.5739599913243181,0.4984592314207648,0.5649078535658009,Hypertensive chronic kidney disease
I20,6214,0.5619645324650815,0.5643765798097488,0.5728440602361782,0.570741372085277,0.5317545824563633,0.5602159589684527,Angina pectoris
I21,4678,0.5761596483663957,0.5822755885448538,0.5915015111099078,0.5901914939938098,0.5438460009173545,0.5780708834710532,Acute myocardial infarction
I25,23969,0.5830820483825538,0.5927755319625959,0.5883393266924921,0.5885064485629586,0.571940018671129,0.58252114673203,Chronic ischemic heart disease
I26,3910,0.606054609698767,0.6160741964445661,0.6105288517770717,0.61110773351876,0.5876485216838716,0.596768340355688,Pulmonary embolism
I27,4991,0.5587423347846348,0.5619190637589431,0.5661971750976635,0.5669903572808049,0.5145739742296821,0.5568364775463767,Other pulmonary heart diseases
I42,5496,0.5520940460603067,0.5730319370334511,0.5584879963107569,0.5584879963107569,0.483287808935431,0.5438584100468032,Cardiomyopathy
