icd,case_num,autogluon,tabpfn,glm,superlearner,unsemble,single,description
N84,2623,0.5085436351180792,0.504711674745893,0.5116887580990477,0.5120391101835587,0.5113883689547845,0.5265842092030365,Polyp of female genital tract
L57,21892,0.5485061434867864,0.5490042671911654,0.5523124006279815,0.5526759420587345,0.5034948659600321,0.5469643129386479,Skin changes due to chronic expsr to nonionizing radiation
A09,2001,0.5037420913087713,0.5018566246293731,0.5077782524623686,0.5075506341072444,0.4996928383534147,0.5283624870582013,"Infectious gastroenteritis and colitis, unspecified"
J32,14255,0.5367789527945307,0.5349313366328798,0.5437789048347804,0.5430265406860725,0.5042104644150868,0.5541530302346969,Chronic sinusitis
D35,2142,0.5092688679260852,0.4954655916476012,0.510104478756651,0.5104359138727278,0.5183381284912048,0.5374723979362325,Benign neoplasm of other and unspecified endocrine glands
L53,2673,0.5051584437919726,0.501134716094124,0.5111839421804846,0.5124466926264555,0.5021853968338448,0.5275876671998709,Other erythematous conditions
L29,9302,0.5350880778479254,0.5228205682949838,0.5328747809572411,0.5326130073428221,0.4939420071798497,0.5316400662806865,Pruritus
E22,1322,0.5111687909008584,0.5251735448853685,0.5212734786009636,0.5218281446499661,0.5044786932495481,0.5383613111481474,Hyperfunction of pituitary gland
J94,788,0.4793383743854955,0.4990261091015009,0.5298008750770814,0.5290743231736483,0.4963668673485857,0.5392584588523692,Other pleural conditions
D68,5669,0.5346990040665826,0.5452500826117396,0.5301742386053763,0.5295996434170193,0.529275957813961,0.5418268066802702,Other coagulation defects
M47,25732,0.5660907995958344,0.5531159256292817,0.5683129688865847,0.5679691141447463,0.5276034708643063,0.5597323748309998,Spondylosis
H57,7204,0.5096258170830739,0.5244813558311733,0.5192602692611278,0.5199226698369188,0.5030577953192994,0.5285647073536794,Other disorders of eye and adnexa
N80,2503,0.5562368618246547,0.5528833822225181,0.5654371154134097,0.565831969155327,0.5539984488558264,0.5664772519605726,Endometriosis
J34,12831,0.5412309623625526,0.5523092514550249,0.5416587944364505,0.5416587944364505,0.4925894702472717,0.5356317598837064,Other and unspecified disorders of nose and nasal sinuses
J45,24074,0.5729231745060654,0.5729016634876274,0.5736319507397072,0.5734063978264834,0.5001965660177466,0.5660619280843228,Asthma
N63,10739,0.5133631310127769,0.5099487748293752,0.5307834666831568,0.5305596656801959,0.4782205820935254,0.5521627903251122,Unspecified lump in breast
H25,21515,0.504828257829041,0.5057482247059178,0.5072357620452941,0.507593243919964,0.500627241791777,0.5541360194195522,Age-related cataract
K59,23657,0.5312483961513145,0.5148302114203085,0.5334640519545851,0.5335138135235359,0.513812645067274,0.5240477621164826,Other functional intestinal disorders
G58,1229,0.5408725516021518,0.5273002067030497,0.5585720263738427,0.5567380766645981,0.4727925620947842,0.5534173354220616,Other mononeuropathies
J47,2175,0.5161480963855173,0.5360565896623165,0.5163169978572995,0.5152418979265465,0.5212235509605757,0.5253962271517716,Bronchiectasis
K08,5254,0.5132387930806228,0.4961160544780572,0.513162275756754,0.513162275756754,0.4985645313425563,0.5128603637580313,Other disorders of teeth and supporting structures
N85,2597,0.5060052766482674,0.4976496889334219,0.5025188984199168,0.5019518705496656,0.5008161837412016,0.5132901824749335,"Other noninflammatory disorders of uterus, except cervix"
E83,13235,0.5201065808492262,0.5244273970936046,0.5222457097001854,0.5223278720088685,0.499974143978081,0.5201591432976606,Disorders of mineral metabolism
M31,742,0.5051934217420736,0.4880530906573394,0.5481977807254993,0.5491157873511688,0.5353687875414475,0.5449122916027046,Other necrotizing vasculopathies
N42,1292,0.5668853657792658,0.5860075328104862,0.5956245810493789,0.5871950639904596,0.563933462755062,0.5956245810493788,Other and unspecified disorders of prostate
K58,9989,0.5445657544031223,0.535760255107417,0.548539351531552,0.548425945386984,0.518512580092366,0.537699291267725,Irritable bowel syndrome
N64,13239,0.5422394966005841,0.5258356562567075,0.5611175089216581,0.5626264277127501,0.5214196676190593,0.5871131712156263,Other disorders of breast
N72,1131,0.493749594771135,0.4959126274435279,0.4926382403178663,0.4924795508798885,0.4875315245712427,0.5373826604118167,Inflammatory disease of cervix uteri
M35,5020,0.5386569546158687,0.5377725832994115,0.5491714534948513,0.5512454702128615,0.4813576844897134,0.5416924236450839,Other systemic involvement of connective tissue
K46,1334,0.5405760799500262,0.5409811687321725,0.5419427679432698,0.5392968020323865,0.512155833037364,0.5467095161931542,Unspecified abdominal hernia
L43,696,0.532217904300206,0.5570492741159784,0.5687041123033907,0.5684709955900018,0.5693180689830221,0.578761788440104,Lichen planus
