icd,case_num,autogluon,tabpfn,glm,superlearner,unsemble,single,description
L57,21892,0.5485061434867864,0.5490042671911654,0.5523124006279815,0.5526759420587345,0.5034948659600321,0.5469643129386479,Skin changes due to chronic expsr to nonionizing radiation
M47,25732,0.5660907995958344,0.5531159256292817,0.5683129688865847,0.5679691141447463,0.5276034708643063,0.5597323748309998,Spondylosis
N80,2503,0.5562368618246547,0.5528833822225181,0.5654371154134097,0.565831969155327,0.5539984488558264,0.5664772519605726,Endometriosis
J45,24074,0.5729231745060654,0.5729016634876274,0.5736319507397072,0.5734063978264834,0.5001965660177466,0.5660619280843228,Asthma
G58,1229,0.5408725516021518,0.5273002067030497,0.5585720263738427,0.5567380766645981,0.4727925620947842,0.5534173354220616,Other mononeuropathies
N42,1292,0.5668853657792658,0.5860075328104862,0.5956245810493789,0.5871950639904596,0.563933462755062,0.5956245810493788,Other and unspecified disorders of prostate
E06,4034,0.5724751200658228,0.5685085894693447,0.5734448938486333,0.5760338972600834,0.5340858230838268,0.5710498218510012,Thyroiditis
K80,7561,0.5755853794035619,0.584843495426853,0.5754269809200574,0.5745523591148354,0.5496472533191846,0.5896239896511429,Cholelithiasis
M51,18961,0.5745491710408878,0.5685998761224401,0.5774909228867056,0.5780229031758757,0.5468144615341912,0.571402873311772,"Thoracic, thoracolum, and lumbosacral intvrt disc disorders"
I12,8001,0.5584686245936124,0.5515422735255624,0.5596836121696056,0.5594529932262645,0.5167369993724517,0.5562027180515796,Hypertensive chronic kidney disease
I42,5496,0.5555250808768678,0.5605916439767347,0.5560286601958723,0.5560286601958723,0.47689795420138,0.5520874885425916,Cardiomyopathy
K81,2234,0.5597844962419188,0.5689100901880294,0.5594391955963507,0.5598713832214786,0.4593838733512816,0.5715043151039962,Cholecystitis
N62,1937,0.5689793958027716,0.5948377498809551,0.5828548870933279,0.5801348598746509,0.5810972787725579,0.5893068598959265,Hypertrophy of breast
M81,15965,0.5615238457009402,0.5751844715503871,0.5665959951772345,0.5669573555470078,0.5056812726560825,0.5591420534307413,Osteoporosis without current pathological fracture
I71,3539,0.5469245895906915,0.5595485768895876,0.5590897020879717,0.5654395140159133,0.5214177385675283,0.5577115873441844,Aortic aneurysm and dissection
S52,3885,0.5800899698903708,0.5703442592894935,0.583902812453055,0.58395686292,0.5602245154981804,0.5790791774148816,Fracture of forearm
E16,3108,0.5688668058863344,0.5608846944396533,0.5777973823063186,0.5777973823063186,0.564662157144149,0.5857836927691092,Other disorders of pancreatic internal secretion
K57,22859,0.580046021176141,0.5741567366182408,0.5831977572575738,0.5835761356124058,0.5670904539058633,0.5814878901270265,Diverticular disease of intestine
E03,25595,0.6225132984421073,0.6292381326168844,0.6233377504385751,0.6230062256663239,0.5840200685400836,0.6212880635319505,Other hypothyroidism
K75,2856,0.5689992501304444,0.5690484443439786,0.5707045370305844,0.5707045370305844,0.4548782408508667,0.5640844766859496,Other inflammatory liver diseases
K50,2032,0.5933166403057852,0.611662229678268,0.6049035715626235,0.6060267795389225,0.5692564607602609,0.5922324420395475,Crohn's disease [regional enteritis]
N41,1466,0.5615895068404752,0.5677650726602929,0.5728503486829991,0.5718743323589975,0.5888512148476838,0.588660549980503,Inflammatory diseases of prostate
K44,11609,0.5517418940119782,0.5446212970770129,0.5544899090557569,0.5545214635347575,0.5153793018688589,0.5453678743603003,Diaphragmatic hernia
I87,8075,0.5577669115790848,0.5494047310158927,0.5604840808669942,0.5604907548164195,0.4700165937308834,0.5524282635017458,Other disorders of veins
F17,17809,0.5607653440362552,0.5691326741454616,0.5620941867806256,0.5621573932630965,0.4822596449626106,0.5443426142847756,Nicotine dependence
K35,1142,0.5502329361592093,0.5628247536878407,0.5571762104917475,0.5553251355216408,0.5263095360291662,0.5614954111231517,Acute appendicitis
S42,3060,0.5432352756848458,0.5576599710339271,0.549156983898481,0.5494260657107274,0.5201582236734819,0.5391238181513935,Fracture of shoulder and upper arm
J84,3684,0.5577080120497134,0.5656446913761473,0.561788012789218,0.5615804945307048,0.5458973297337874,0.5602519438327906,Other interstitial pulmonary diseases
N40,15697,0.5720387047747165,0.5748515158513055,0.5858249337220777,0.5854524135574504,0.5644362580264703,0.5860611089302435,Benign prostatic hyperplasia
K43,3874,0.5657850376706572,0.5671403304585436,0.5712016319806571,0.5717419017303225,0.5267576577662647,0.5569529197395833,Ventral hernia
D24,1553,0.5461239371523309,0.5547449006473892,0.5575489102084948,0.5559542955917618,0.5385545970266361,0.5511990960304772,Benign neoplasm of breast
I20,6214,0.5973812027340167,0.6033903121546772,0.6009264345155807,0.5997271456152508,0.5612827104536504,0.5894639420737375,Angina pectoris
O03,1017,0.4969589226278481,0.4944124384896721,0.5418454791386977,0.5421384383662027,0.4863861939267046,0.553424908638877,Spontaneous abortion
J44,11280,0.5779655789672081,0.5917947711738064,0.58116181290595,0.581167572672172,0.4796038196683498,0.5549393242397109,Other chronic obstructive pulmonary disease
L40,5275,0.5971966443384471,0.612371524455821,0.6069095060764127,0.6070830735534888,0.5241873423632871,0.6042505971096781,Psoriasis
G47,47420,0.5690821991037881,0.578729840640966,0.5705144929354808,0.5703455385189609,0.5203295897435858,0.5595317833683906,Sleep disorders
D04,2560,0.5620846885673048,0.5618855732180865,0.5555435400493492,0.5598572298995321,0.5193358587587268,0.553114622200879,Carcinoma in situ of skin
I63,4984,0.5537170971337134,0.560044568242235,0.5600587593773523,0.5602730615446923,0.535809394554007,0.546889008204062,Cerebral infarction
I26,3910,0.6037592439614178,0.6125883038895423,0.6098932677174329,0.6099978399271676,0.5949228436045066,0.6026174955874999,Pulmonary embolism
J43,4776,0.5750906186768433,0.5770881133059458,0.5867662760981777,0.58733429448786,0.4780894315736372,0.5590367496607991,Emphysema
E66,39483,0.5933971708672753,0.5934999057629419,0.5935186471600271,0.5937562570541188,0.5243273702716422,0.5855367251227472,Overweight and obesity
S32,2756,0.5504291467065059,0.5471507651444655,0.5508089324798946,0.5508089324798946,0.4820895987885842,0.541188063194081,Fracture of lumbar spine and pelvis
J33,1247,0.6206816014305075,0.6333027131207628,0.6372064454448462,0.6356107703739923,0.5898571315331292,0.6360694571112839,Nasal polyp
K70,1380,0.6029066613206074,0.6072808979959908,0.612398407045269,0.612435663664767,0.4543564406403834,0.588444062212912,Alcoholic liver disease
I27,4991,0.5539557079734717,0.5537790369559334,0.5552452763829244,0.5550566784639703,0.5111611069155736,0.543038608298778,Other pulmonary heart diseases
I72,1775,0.5434540441567733,0.5434501133236166,0.5581034829433673,0.5581034829433673,0.5137892726120811,0.5408069264031817,Other aneurysm
I70,7704,0.5761413012018751,0.5870291724381427,0.5901855158306594,0.5904309495648745,0.4649752644254727,0.5732762687818228,Atherosclerosis
E10,2697,0.6065681791382475,0.6183170680414509,0.6041748961711884,0.6050389428399953,0.5339208559560871,0.5939807082818638,Type 1 diabetes mellitus
