"method","rank","lower","upper","bin"
"GLM",1,1,2,1
"Superlearner",3,3,5,1
"TabPFN",5,3,5,1
"Autogluon",2,1,2,1
"UNSemblePRS",6,6,6,1
"BestSingle",4,3,5,1
"GLM",1,1,1,2
"Superlearner",3,2,5,2
"TabPFN",5,3,5,2
"Autogluon",2,2,4,2
"UNSemblePRS",6,6,6,2
"BestSingle",4,3,5,2
"GLM",1,1,2,3
"Superlearner",3,2,4,3
"TabPFN",5,5,6,3
"Autogluon",2,1,4,3
"UNSemblePRS",6,5,6,3
"BestSingle",4,2,4,3
"GLM",1,1,1,4
"Superlearner",2,2,4,4
"TabPFN",5,4,5,4
"Autogluon",3,2,4,4
"UNSemblePRS",6,6,6,4
"BestSingle",4,2,5,4
"GLM",1,1,2,5
"Superlearner",4,2,5,5
"TabPFN",5,3,5,5
"Autogluon",2,1,4,5
"UNSemblePRS",6,6,6,5
"BestSingle",3,2,5,5
