"method","rank","lower","upper","bin"
"GLM",2,1,6,1
"Superlearner",4,1,6,1
"TabPFN",5,2,6,1
"Autogluon",3,1,6,1
"UNSemblePRS",6,2,6,1
"BestSingle",1,1,4,1
"GLM",3,1,5,5
"Superlearner",2,1,5,5
"TabPFN",5,1,5,5
"Autogluon",4,1,5,5
"UNSemblePRS",6,6,6,5
"BestSingle",1,1,5,5
"GLM",4,1,6,2
"Superlearner",1,1,4,2
"TabPFN",5,2,6,2
"Autogluon",2,1,5,2
"UNSemblePRS",6,3,6,2
"BestSingle",3,1,6,2
"GLM",4,1,5,4
"Superlearner",2,1,5,4
"TabPFN",5,1,5,4
"Autogluon",1,1,5,4
"UNSemblePRS",6,6,6,4
"BestSingle",3,1,5,4
"GLM",3,1,6,3
"Superlearner",4,1,6,3
"TabPFN",5,2,6,3
"Autogluon",2,1,5,3
"UNSemblePRS",6,3,6,3
"BestSingle",1,1,4,3
